name,hd,tyc,tic,magmax,period,sptype,ra_deg,dec_deg,constellation
RR Sgr,188378,6903-2336-1,209185263,5.4,336.33,M4e-M9e,298.9851,-29.1900,Sgr
RT Sgr,192702,7948-2107-1,382180510,6.0,306.46,M5e-M7e,304.4319,-39.1128,Sgr
RU Sgr,188813,7942-935-1,300662518,6.0,240.49,M3e-M6e,299.6786,-41.8494,Sgr
RV Sgr,169831,7398-2676-1,27476021,7.2,315.85,M4e-M9,276.9837,-33.3248,Sgr
RX Sgr,179769,,10721471,9.0,335.23,M5e,288.6360,-18.8119,Sgr
ST Sgr,176592,5715-1103-1,414242154,7.2,395.12,"C4,3e-S9,5e",285.3717,-12.7594,Sgr
SW Sgr,180958,,32185576,9.4,289.9,M5e-M8,289.9686,-31.7150,Sgr
TW Sgr,179451,,10454449,9.1,220.63,M2e-M3e,288.3625,-21.5610,Sgr
TY Sgr,180491,6875-3266-1,2613558,9.1,325.41,M3e,289.4284,-23.9402,Sgr
AN Sgr,182794,,120205607,9.9,337.56,M5e-M8,291.7606,-18.5140,Sgr
V0969 Sgr,,,,9.6,262.0,Me,285.6293,-31.5211,Sgr
V1946 Sgr,,,110171538,9.0,440.0,,270.5007,-23.5582,Sgr
V1950 Sgr,,,111189206,7.0,400.0,M,270.6636,-23.3675,Sgr
V1951 Sgr,,,103599718,8.3,510.0,,270.8755,-22.9975,Sgr
V1977 Sgr,,,118637057,9.5,467.0,,275.6127,-16.2892,Sgr
V3876 Sgr,,,187167653,9.4,352.0,M8e,278.3030,-20.0973,Sgr
V3880 Sgr,,,187899634,1.7,510.0,M8:,287.2288,-22.2385,Sgr
V3908 Sgr,,,109476619,8.4,279.0,,273.3947,-16.2304,Sgr
V3966 Sgr,,,136228128,7.0,390.0,,269.5618,-28.9124,Sgr
V3968 Sgr,,,136896480,7.0,300.0,,269.5944,-28.9096,Sgr
V3970 Sgr,,,136901566,6.0,350.0,,269.6247,-29.2175,Sgr
V3972 Sgr,,,136899989,6.68,265.0,,269.6823,-29.1204,Sgr
V3977 Sgr,,,137018099,7.34,315.0,,269.8064,-28.9815,Sgr
V3980 Sgr,,,137667612,7.13,320.0,,269.8712,-28.8413,Sgr
V3982 Sgr,,,137717337,6.49,330.0,,269.9300,-29.2369,Sgr
V3986 Sgr,,,137668103,7.91,280.0,,269.9556,-28.8717,Sgr
V3987 Sgr,,,195228350,6.12,350.0,,269.9839,-28.8910,Sgr
V3990 Sgr,,,195227883,7.36,308.0,,270.0710,-28.9234,Sgr
V3992 Sgr,,,195225166,6.8,325.0,,270.0885,-29.1124,Sgr
V3995 Sgr,,,195793419,6.69,360.0,,270.1906,-29.1848,Sgr
V3996 Sgr,,,195793241,7.41,355.0,M8.5,270.2030,-29.1720,Sgr
V3999 Sgr,,,266098581,5.67,470.0,,270.5800,-29.9879,Sgr
V4000 Sgr,,,266096826,6.44,465.0,M9,270.6286,-30.1114,Sgr
V4001 Sgr,,,266101826,5.77,465.0,M9+,270.6731,-30.0886,Sgr
V4005 Sgr,,,194026340,7.03,305.0,M8,270.9783,-30.0144,Sgr
V4010 Sgr,,,404904941,6.15,410.0,M9,273.8656,-27.9714,Sgr
V4035 Sgr,,,266098275,7.1,330.0,,270.5760,-30.0123,Sgr
V4036 Sgr,,,266097103,6.95,420.0,,270.6090,-30.0916,Sgr
V4037 Sgr,,,266100609,5.74,400.0,,270.6449,-29.9997,Sgr
V4038 Sgr,,,194023101,6.94,335.0,M7,270.7855,-30.0907,Sgr
V4039 Sgr,,,194021590,7.01,430.0,M8,270.8382,-30.2014,Sgr
V4040 Sgr,,,194028864,7.75,375.0,M8-M8.5,271.0007,-30.2043,Sgr
V4042 Sgr,,,407177957,6.71,420.0,,271.0592,-29.8095,Sgr
V4044 Sgr,,,407182816,6.66,335.0,,271.1791,-29.8787,Sgr
V4071 Sgr,,,136895012,6.47,,,269.5896,-28.8235,Sgr
V4120 Sgr,,,104109148,0.6,,,270.9856,-20.3168,Sgr
V4154 Sgr,,,328788855,8.93,,,271.3181,-36.0851,Sgr
V4156 Sgr,,,57245627,6.72,,,272.3420,-34.8481,Sgr
V4158 Sgr,,,58122359,7.92,,,272.8031,-35.1774,Sgr
V4162 Sgr,,,61806195,8.87,,,274.2504,-33.0426,Sgr
V4163 Sgr,,,62797406,7.68,,,274.5582,-31.6756,Sgr
V4164 Sgr,,,63486177,7.41,,,274.9007,-31.0779,Sgr
V4165 Sgr,,,64002081,7.5,,,275.0355,-30.5611,Sgr
V4166 Sgr,,,64006835,9.16,,,275.0414,-30.0809,Sgr
V4167 Sgr,,,64124151,8.99,,,275.1263,-31.1003,Sgr
V4168 Sgr,,,64749389,8.06,,,275.3051,-30.5323,Sgr
V4170 Sgr,,,66109122,8.87,,,275.8979,-30.4314,Sgr
V4172 Sgr,,,51700635,8.35,,,276.2302,-29.0797,Sgr
V4173 Sgr,,,51704821,8.14,,,276.2967,-29.3129,Sgr
V4174 Sgr,,,51850317,8.03,,,276.3890,-27.9101,Sgr
V4176 Sgr,,,324215405,8.17,,,277.2930,-26.2844,Sgr
V4179 Sgr,,,324697552,9.4,,,277.4685,-27.2161,Sgr
V4180 Sgr,,,325037653,6.84,,,277.6181,-26.5056,Sgr
V4181 Sgr,,,325194996,8.0,,,277.6514,-26.9204,Sgr
V4182 Sgr,,,226466216,9.5,,,277.8280,-25.5680,Sgr
V4183 Sgr,,,226804126,9.38,,,277.9600,-26.1470,Sgr
V4184 Sgr,,,226907499,3.21,,,278.0320,-24.9559,Sgr
V4185 Sgr,,,226800606,8.68,,,278.0548,-26.6657,Sgr
V4186 Sgr,,,227562676,8.28,,,278.4105,-24.7603,Sgr
V4187 Sgr,,,228002635,7.46,,,278.4731,-26.0338,Sgr
V4188 Sgr,,,228002826,7.81,,,278.5545,-25.7276,Sgr
V4189 Sgr,,,148373682,8.15,,,278.7666,-24.6701,Sgr
V4192 Sgr,,,725167,8.41,,,279.4515,-23.8117,Sgr
V4193 Sgr,,,1285518,8.27,,,279.5572,-23.3718,Sgr
V4194 Sgr,,,1282522,6.65,,,279.5560,-23.0232,Sgr
V4195 Sgr,,,1429418,7.96,,,279.6975,-22.1005,Sgr
V4196 Sgr,,,4904433,7.88,,,281.0959,-19.9411,Sgr
V4328 Sgr,,,62657983,9.32,,,274.4723,-31.1473,Sgr
V4331 Sgr,,,226265169,9.61,,,277.7655,-27.0947,Sgr
V4335 Sgr,,,136900524,8.01,,,269.5730,-29.1535,Sgr
V4336 Sgr,,,137059478,9.28,,,269.7758,-28.8185,Sgr
V4337 Sgr,,,137013827,8.67,,,269.8217,-29.2726,Sgr
V4341 Sgr,,,195882999,7.27,,,270.2602,-29.2348,Sgr
V4445 Sgr,,,203593182,8.2,,,265.9877,-29.0079,Oph
V4446 Sgr,,,203531817,9.9,,,265.9872,-28.8419,Oph
V4447 Sgr,,,203600268,9.3,,,266.0195,-29.3316,Sgr
V4449 Sgr,,,203530227,7.7,,,266.0623,-28.7517,Sgr
V4450 Sgr,,,203530008,8.8,,,266.0801,-28.7394,Sgr
V4451 Sgr,,,,9.0,,,266.1182,-28.8499,Sgr
V4452 Sgr,,,203664342,5.93,,,266.1226,-29.0829,Sgr
V4453 Sgr,,,203665737,8.75,,,266.1255,-29.0206,Sgr
V4458 Sgr,,,203664505,3.6,,,266.1457,-29.0766,Sgr
V4461 Sgr,,,203657923,9.9,,,266.1605,-29.3895,Sgr
V4463 Sgr,,,203664062,9.6,,,266.1851,-29.0939,Sgr
V4465 Sgr,,,203663815,9.9,,,266.1915,-29.1038,Sgr
V4467 Sgr,,,203662634,8.95,,,266.2137,-29.1559,Sgr
V4468 Sgr,,,203661039,8.25,,,266.2257,-29.2291,Sgr
V4470 Sgr,,,203661165,4.74,,,266.2368,-29.2237,Sgr
V4473 Sgr,,,204254898,9.2,,,266.2633,-29.1202,Sgr
V4475 Sgr,,,204259169,7.0,,,266.2720,-29.2871,Sgr
V4476 Sgr,,,204259107,9.5,,,266.2765,-29.2848,Sgr
V4477 Sgr,,,,8.4,,,266.2791,-29.0597,Sgr
V4479 Sgr,,,204215458,9.6,,,266.2868,-28.9880,Sgr
V4482 Sgr,,,204257290,8.9,,,266.3038,-29.2152,Sgr
V4483 Sgr,,,204255911,8.9,,,266.3045,-29.1601,Sgr
V4484 Sgr,,,204209532,8.0,,,266.3019,-28.6790,Sgr
V4487 Sgr,,,204254962,9.8,,,266.3095,-29.1224,Sgr
V4489 Sgr,,,204211950,5.18,,,266.3080,-28.7953,Sgr
V4490 Sgr,,,204258490,7.9,,,266.3185,-29.2604,Sgr
V4492 Sgr,,,204254384,5.34,,,266.3243,-29.0981,Sgr
V4493 Sgr,,,204215232,8.4,,,266.3263,-28.9776,Sgr
V4494 Sgr,,,204257832,8.4,,,266.3306,-29.2349,Sgr
V4496 Sgr,,,204255272,5.45,,,266.3598,-29.1344,Sgr
V4497 Sgr,,,,6.32,,,266.3731,-29.1548,Sgr
V4498 Sgr,,,204260589,9.7,,,266.3769,-29.3500,Sgr
V4501 Sgr,,,204211515,5.91,,,266.3810,-28.7728,Sgr
V4504 Sgr,,,,9.8,,,266.3885,-29.0581,Sgr
V4505 Sgr,,,,6.35,,,266.3895,-29.0379,Sgr
V4507 Sgr,,,321995866,8.4,,,266.3950,-29.1008,Sgr
V4512 Sgr,,,,9.6,,,266.4196,-29.0067,Sgr
V4515 Sgr,,,321993152,9.2,,,266.4265,-28.9883,Sgr
V4516 Sgr,,,321993061,8.0,,,266.4287,-28.9840,Sgr
V4518 Sgr,,,321885248,8.5,,,266.4440,-28.5443,Sgr
V4519 Sgr,,,,8.8,,,266.4520,-29.1792,Sgr
V4520 Sgr,,,321992972,8.9,,,266.4559,-28.9804,Sgr
V4522 Sgr,,,321891484,4.75,,,266.4639,-28.8019,Sgr
V4523 Sgr,,,321999508,9.8,,,266.4692,-29.2418,Sgr
V4529 Sgr,,,321884855,8.7,,,266.4757,-28.5294,Sgr
V4530 Sgr,,,321991675,5.57,,,266.4837,-28.9311,Sgr
V4531 Sgr,,,321890349,5.81,,,266.4826,-28.7553,Sgr
V4532 Sgr,,,321887901,9.7,,,266.4837,-28.6576,Sgr
V4534 Sgr,,,321992869,9.7,,,266.4954,-28.9764,Sgr
V4542 Sgr,,,,9.5,,,266.5200,-28.7334,Sgr
V4549 Sgr,,,,8.4,,,266.5623,-28.7381,Sgr
V4550 Sgr,,,,6.42,,,266.5636,-28.9284,Sgr
V4551 Sgr,,,322750554,9.3,,,266.5921,-28.7729,Sgr
V4553 Sgr,,,,8.3,,,266.6077,-28.8334,Sgr
V4555 Sgr,,,322753597,8.1,,,266.6196,-28.8887,Sgr
V4556 Sgr,,,,9.2,,,266.6281,-28.5262,Sgr
V4557 Sgr,,,322748059,8.4,,,266.6307,-28.6634,Sgr
V4562 Sgr,,,,7.36,,,266.6472,-28.9825,Sgr
V4564 Sgr,,,323671271,9.0,,,266.6568,-29.3245,Sgr
V4565 Sgr,,,323671280,9.4,,,266.6588,-29.3252,Sgr
V4566 Sgr,,,323509235,9.5,,,266.6555,-28.5404,Sgr
V4570 Sgr,,,323516886,9.2,,,266.7590,-28.7655,Sgr
V4572 Sgr,,,126057837,9.4,,,266.8389,-29.3401,Sgr
V4574 Sgr,,,126154392,8.15,,,266.8501,-28.5453,Sgr
V4577 Sgr,,,195787640,6.53,,,270.1226,-28.8087,Sgr
V4644 Sgr,,,322752135,8.2,,,266.5600,-28.8341,Sgr
V4645 Sgr,,,322751549,9.6,,,266.5621,-28.8118,Sgr
V4646 Sgr,,,322751898,8.0,,,266.5631,-28.8246,Sgr
V4648 Sgr,,,322752301,9.6,,,266.5648,-28.8399,Sgr
V4649 Sgr,,,322752222,7.9,,,266.5725,-28.8372,Sgr
V4746 Sgr,,,203705626,8.5,,,266.1944,-28.8522,Sgr
V4749 Sgr,,,203665522,8.7,,,266.2035,-29.0299,Sgr
V4751 Sgr,,,203665007,9.0,,,266.2061,-29.0544,Sgr
V4752 Sgr,,,203663384,9.3,,,266.2070,-29.1229,Sgr
V4753 Sgr,,,203704409,9.9,,,266.2084,-28.9524,Sgr
V4758 Sgr,,,203664358,8.5,,,266.2265,-29.0823,Sgr
V4759 Sgr,,,203704125,7.8,,,266.2289,-28.9704,Sgr
V4762 Sgr,,,203665633,9.0,,,266.2323,-29.0253,Sgr
V4768 Sgr,,,203703511,8.9,,,266.2402,-29.0033,Sgr
V4771 Sgr,,,203662713,8.0,,,266.2454,-29.1530,Sgr
V4773 Sgr,,,203663972,7.9,,,266.2467,-29.0971,Sgr
V4774 Sgr,,,203662613,7.9,,,266.2480,-29.1571,Sgr
V4777 Sgr,,,204216219,9.0,,,266.2541,-29.0208,Sgr
V4779 Sgr,,,204216847,7.8,,,266.2571,-29.0472,Sgr
V4783 Sgr,,,204254763,5.4,,,266.2616,-29.1146,Sgr
V4784 Sgr,,,204255434,7.6,,,266.2622,-29.1410,Sgr
V4786 Sgr,,,204254406,8.7,,,266.2625,-29.0992,Sgr
V4788 Sgr,,,204215560,6.8,,,266.2682,-28.9921,Sgr
V4790 Sgr,,,204216290,8.0,,,266.2696,-29.0236,Sgr
V4791 Sgr,,,204254356,8.0,,,266.2699,-29.0968,Sgr
V4794 Sgr,,,204216350,7.6,,,266.2718,-29.0266,Sgr
V4795 Sgr,,,204214555,9.3,,,266.2742,-28.9459,Sgr
V4797 Sgr,,,,8.6,,,266.2773,-29.0168,Sgr
V4798 Sgr,,,204212733,8.0,,,266.2798,-28.8408,Sgr
V4800 Sgr,,,,9.5,,,266.2817,-29.1730,Sgr
V4805 Sgr,,,204254495,7.3,,,266.2884,-29.1029,Sgr
V4809 Sgr,,,204255789,8.5,,,266.2957,-29.1551,Sgr
V4810 Sgr,,,204256761,7.9,,,266.2974,-29.1951,Sgr
V4812 Sgr,,,204216553,7.3,,,266.2995,-29.0356,Sgr
V4813 Sgr,,,204253789,7.9,,,266.3004,-29.0736,Sgr
V4814 Sgr,,,204215360,9.0,,,266.3006,-28.9838,Sgr
V4815 Sgr,,,204256537,9.6,,,266.3009,-29.1864,Sgr
V4816 Sgr,,,204215964,8.2,,,266.3023,-29.0100,Sgr
V4817 Sgr,,,204253941,9.0,,,266.3035,-29.0796,Sgr
V4818 Sgr,,,204215561,9.4,,,266.3055,-28.9921,Sgr
V4823 Sgr,,,204256382,9.5,,,266.3092,-29.1792,Sgr
V4826 Sgr,,,204213152,9.5,,,266.3137,-28.8639,Sgr
V4827 Sgr,,,204255799,8.5,,,266.3173,-29.1556,Sgr
V4828 Sgr,,,204256569,9.1,,,266.3183,-29.1877,Sgr
V4830 Sgr,,,204253665,7.5,,,266.3214,-29.0691,Sgr
V4831 Sgr,,,204253787,7.8,,,266.3224,-29.0735,Sgr
V4833 Sgr,,,204215959,9.0,,,266.3274,-29.0099,Sgr
V4842 Sgr,,,204254657,9.8,,,266.3393,-29.1100,Sgr
V4844 Sgr,,,204256180,8.5,,,266.3448,-29.1714,Sgr
V4845 Sgr,,,204215569,8.0,,,266.3450,-28.9924,Sgr
V4846 Sgr,,,204253473,9.6,,,266.3452,-29.0617,Sgr
V4847 Sgr,,,204214514,9.2,,,266.3462,-28.9434,Sgr
V4849 Sgr,,,204214195,9.3,,,266.3495,-28.9274,Sgr
V4854 Sgr,,,204254443,9.0,,,266.3590,-29.1011,Sgr
V4856 Sgr,,,204255834,9.0,,,266.3596,-29.1567,Sgr
V4863 Sgr,,,204216729,8.9,,,266.3660,-29.0429,Sgr
V4864 Sgr,,,204215067,7.7,,,266.3660,-28.9701,Sgr
V4866 Sgr,,,204215837,9.3,,,266.3667,-29.0044,Sgr
V4869 Sgr,,,204213754,9.3,,,266.3684,-28.9038,Sgr
V4870 Sgr,,,204253610,8.6,,,266.3685,-29.0666,Sgr
V4875 Sgr,,,204254848,9.5,,,266.3718,-29.1179,Sgr
V4876 Sgr,,,204214371,9.5,,,266.3737,-28.9365,Sgr
V4878 Sgr,,,204215818,9.5,,,266.3766,-29.0039,Sgr
V4879 Sgr,,,204214941,7.8,,,266.3766,-28.9639,Sgr
V4880 Sgr,,,204215602,9.0,,,266.3773,-28.9942,Sgr
V4881 Sgr,,,204214572,9.8,,,266.3779,-28.9468,Sgr
V4883 Sgr,,,204216377,9.5,,,266.3785,-29.0279,Sgr
V4884 Sgr,,,204254144,8.4,,,266.3788,-29.0890,Sgr
V4887 Sgr,,,204214924,8.4,,,266.3831,-28.9632,Sgr
V4890 Sgr,,,,9.7,,,266.3844,-29.0348,Sgr
V4891 Sgr,,,321994267,9.2,,,266.3853,-29.0332,Sgr
V4896 Sgr,,,321991695,8.8,,,266.3883,-28.9319,Sgr
V4897 Sgr,,,,9.1,,,266.3889,-28.8161,Sgr
V4905 Sgr,,,321996955,9.2,,,266.3969,-29.1421,Sgr
V4908 Sgr,,,321995489,8.6,,,266.4005,-29.0832,Sgr
V4909 Sgr,,,321892246,9.4,,,266.4016,-28.8334,Sgr
V4910 Sgr,,,,9.9,,,266.4050,-29.0127,Sgr
V4911 Sgr,,,321993874,9.2,,,266.4084,-29.0173,Sgr
V4912 Sgr,,,321991903,7.4,,,266.4085,-28.9395,Sgr
V4913 Sgr,,,321992200,8.4,,,266.4094,-28.9505,Sgr
V4915 Sgr,,,321891608,9.2,,,266.4104,-28.8067,Sgr
V4925 Sgr,,,321893283,8.7,,,266.4237,-28.8766,Sgr
V4929 Sgr,,,,9.3,,,266.4292,-28.8649,Sgr
V4930 Sgr,,,,8.2,,,266.4292,-29.0033,Sgr
V4931 Sgr,,,321991049,8.3,,,266.4298,-28.9061,Sgr
V4932 Sgr,,,321891583,8.9,,,266.4302,-28.8060,Sgr
V4934 Sgr,,,,7.8,,,266.4364,-28.9707,Sgr
V4935 Sgr,,,321893269,9.7,,,266.4376,-28.8761,Sgr
V4936 Sgr,,,321992473,8.1,,,266.4380,-28.9613,Sgr
V4937 Sgr,,,321893772,8.6,,,266.4389,-28.8961,Sgr
V4942 Sgr,,,321991928,9.1,,,266.4490,-28.9402,Sgr
V4943 Sgr,,,,8.4,,,266.4496,-28.8844,Sgr
V4945 Sgr,,,321994725,8.6,,,266.4501,-29.0506,Sgr
V4946 Sgr,,,321892789,6.5,,,266.4507,-28.8568,Sgr
V4948 Sgr,,,,7.6,,,266.4576,-28.9476,Sgr
V4953 Sgr,,,321995264,9.2,,,266.4615,-29.0724,Sgr
V4954 Sgr,,,321994200,9.3,,,266.4624,-29.0301,Sgr
V4956 Sgr,,,321892837,8.5,,,266.4677,-28.8586,Sgr
V4957 Sgr,,,321994298,9.5,,,266.4682,-29.0339,Sgr
V4958 Sgr,,,321995310,9.7,,,266.4714,-29.0744,Sgr
V4959 Sgr,,,321892175,8.3,,,266.4730,-28.8306,Sgr
V4960 Sgr,,,321992008,9.1,,,266.4740,-28.9430,Sgr
V4961 Sgr,,,321997604,8.4,,,266.4804,-29.1685,Sgr
V4962 Sgr,,,321892317,8.2,,,266.4810,-28.8364,Sgr
V4963 Sgr,,,321996029,9.6,,,266.4813,-29.1078,Sgr
V4965 Sgr,,,321994812,9.0,,,266.4827,-29.0535,Sgr
V4966 Sgr,,,321892165,9.7,,,266.4842,-28.8300,Sgr
V4968 Sgr,,,321892019,8.8,,,266.4852,-28.8242,Sgr
V4969 Sgr,,,321996057,8.2,,,266.4865,-29.1086,Sgr
V4970 Sgr,,,321991718,7.5,,,266.4878,-28.9329,Sgr
V4974 Sgr,,,321996772,8.1,,,266.4945,-29.1352,Sgr
V4975 Sgr,,,321998417,8.3,,,266.4969,-29.1999,Sgr
V4976 Sgr,,,321991193,8.8,,,266.4980,-28.9121,Sgr
V4977 Sgr,,,321893960,8.4,,,266.4982,-28.9032,Sgr
V4981 Sgr,,,321995859,8.4,,,266.5039,-29.1003,Sgr
V4983 Sgr,,,321996227,8.7,,,266.5071,-29.1152,Sgr
V4984 Sgr,,,321994148,9.5,,,266.5077,-29.0282,Sgr
V4986 Sgr,,,321992828,9.2,,,266.5142,-28.9746,Sgr
V4987 Sgr,,,,9.5,,,266.5148,-28.8598,Sgr
V4988 Sgr,,,321992480,9.2,,,266.5150,-28.9616,Sgr
V4995 Sgr,,,,9.8,,,266.5193,-29.0964,Sgr
V4997 Sgr,,,322757923,8.2,,,266.5210,-29.0652,Sgr
V5000 Sgr,,,322752113,8.9,,,266.5259,-28.8333,Sgr
V5002 Sgr,,,322756003,8.9,,,266.5265,-28.9852,Sgr
V5004 Sgr,,,322880172,8.5,,,266.5315,-29.1786,Sgr
V5005 Sgr,,,322758358,8.6,,,266.5317,-29.0815,Sgr
V5008 Sgr,,,322758140,9.7,,,266.5330,-29.0731,Sgr
V5010 Sgr,,,322880001,8.6,,,266.5357,-29.1713,Sgr
V5011 Sgr,,,,9.0,,,266.5409,-28.8552,Sgr
V5013 Sgr,,,322753949,9.2,,,266.5417,-28.9028,Sgr
V5014 Sgr,,,322757163,9.3,,,266.5454,-29.0354,Sgr
V5016 Sgr,,,322755332,9.5,,,266.5456,-28.9563,Sgr
V5019 Sgr,,,322757085,9.1,,,266.5483,-29.0326,Sgr
V5020 Sgr,,,322756162,8.7,,,266.5487,-28.9923,Sgr
V5021 Sgr,,,322753399,7.5,,,266.5496,-28.8822,Sgr
V5022 Sgr,,,322754445,9.1,,,266.5518,-28.9221,Sgr
V5023 Sgr,,,322751590,8.4,,,266.5521,-28.8136,Sgr
V5026 Sgr,,,322879964,8.0,,,266.5530,-29.1699,Sgr
V5030 Sgr,,,322753209,9.0,,,266.5565,-28.8752,Sgr
V5032 Sgr,,,322758831,9.0,,,266.5575,-29.0996,Sgr
V5033 Sgr,,,322758539,8.8,,,266.5593,-29.0882,Sgr
V5034 Sgr,,,322753943,9.2,,,266.5596,-28.9024,Sgr
V5036 Sgr,,,322755213,9.8,,,266.5620,-28.9526,Sgr
V5038 Sgr,,,322753744,8.1,,,266.5633,-28.8949,Sgr
V5039 Sgr,,,322754965,8.9,,,266.5656,-28.9423,Sgr
V5044 Sgr,,,322758177,8.4,,,266.5687,-29.0745,Sgr
V5046 Sgr,,,322754825,8.9,,,266.5698,-28.9371,Sgr
V5048 Sgr,,,322756375,9.0,,,266.5710,-29.0016,Sgr
V5049 Sgr,,,322757279,8.7,,,266.5725,-29.0397,Sgr
V5051 Sgr,,,322751332,7.5,,,266.5730,-28.8034,Sgr
V5052 Sgr,,,322754484,9.0,,,266.5730,-28.9233,Sgr
V5054 Sgr,,,322755281,9.8,,,266.5748,-28.9544,Sgr
V5055 Sgr,,,322757777,8.4,,,266.5772,-29.0602,Sgr
V5056 Sgr,,,322879892,9.0,,,266.5782,-29.1670,Sgr
V5057 Sgr,,,322754451,8.5,,,266.5794,-28.9222,Sgr
V5060 Sgr,,,322757035,8.9,,,266.5811,-29.0304,Sgr
V5065 Sgr,,,322879357,9.3,,,266.5877,-29.1462,Sgr
V5070 Sgr,,,322758859,9.2,,,266.5957,-29.1004,Sgr
V5071 Sgr,,,322752425,7.8,,,266.5967,-28.8452,Sgr
V5074 Sgr,,,322756576,8.6,,,266.6016,-29.0111,Sgr
V5075 Sgr,,,322758919,8.6,,,266.6063,-29.1032,Sgr
V5077 Sgr,,,322753844,9.7,,,266.6115,-28.8991,Sgr
V5079 Sgr,,,322752293,7.8,,,266.6164,-28.8397,Sgr
V5080 Sgr,,,322758937,8.7,,,266.6173,-29.1035,Sgr
V5081 Sgr,,,322878756,8.4,,,266.6183,-29.1245,Sgr
V5084 Sgr,,,322753901,9.7,,,266.6220,-28.9014,Sgr
V5085 Sgr,,,322755142,7.8,,,266.6275,-28.9500,Sgr
V5088 Sgr,,,322753137,9.2,,,266.6334,-28.8721,Sgr
V5089 Sgr,,,322755530,8.4,,,266.6352,-28.9647,Sgr
V5091 Sgr,,,322878805,8.6,,,266.6407,-29.1264,Sgr
V5092 Sgr,,,322753907,8.6,,,266.6411,-28.9012,Sgr
V5104 Sgr,,,465843441,2.99,,,275.6445,-27.1082,Sgr
V5357 Sgr,,,195531354,7.7,550.0,,270.1366,-24.2719,Sgr
V5624 Sgr,,,358476711,3.49,628.0,C,270.2770,-17.7397,Sgr
V5632 Sgr,,,184699225,4.17,664.0,C,271.6751,-23.7395,Sgr
V5638 Sgr,,,243703941,4.7,611.0,,273.7560,-22.7329,Sgr
V5792 Sgr,,,56340896,9.8,246.2,,272.1342,-32.0314,Sgr
V6622 Sgr,,,,6.45,377.0,,266.9763,-24.8318,Sgr
V6623 Sgr,,,,7.2,217.0,,266.9977,-24.7882,Sgr
V6625 Sgr,,,,6.3,464.0,,267.0140,-24.7785,Sgr
V6630 Sgr,,,,7.0,261.0,,267.0299,-24.7741,Sgr
V6632 Sgr,,,,7.1,269.0,,267.0386,-24.7851,Sgr
V6633 Sgr,,,,7.95,464.0,,267.0494,-24.8379,Sgr
V6875 Sgr,,,,6.95,267.0,,272.3286,-25.9099,Sgr
V7125 Sgr,,,,7.4,198.0,Me,277.8477,-32.3471,Sgr
R Sco,,6793-1422-1,49744658,9.8,224.61,M(3)e,244.4128,-22.9446,Sco
S Sco,,6793-77-1,49744591,9.5,177.92,M(3)e,244.4175,-22.8933,Sco
Z Sco,144311,6212-1715-1,48762720,8.7,343.03,M5.5e:-M7e,241.5029,-21.7332,Sco
RR Sco,152783,7359-722-1,35510373,5.0,281.45,M6II-IIIe-M9,254.1577,-30.5801,Sco
RS Sco,152476,8327-497-1,247459453,6.2,319.91,M5e-M9,253.9075,-45.1030,Sco
RT Sco,153858,,346770392,7.0,449.04,"S7,2(M6e-M7e)",255.8857,-36.9205,Sco
RU Sco,160496,7897-1357-1,31323426,7.8,370.75,M4/6e-M7II-IIIe,265.6050,-43.7504,Sco
RW Sco,155734,,151045538,8.8,388.45,M5e,258.7153,-33.4318,Sco
RZ Sco,144018,6780-1590-1,67278022,8.0,156.6,M3e-M4e,241.1505,-24.1002,Sco
SV Sco,161652,,113521452,8.7,262.0,M3e,267.0833,-35.7013,Sco
V0984 Sco,,,,7.66,,,248.2865,-36.1534,Sco
V0985 Sco,,,,8.45,,,250.1860,-35.6248,Sco
V0987 Sco,,,,9.09,,,252.2020,-33.0169,Sco
V0988 Sco,,,,9.46,,,253.5191,-31.4287,Sco
V0989 Sco,,,,7.89,,,254.2377,-31.2780,Sco
V0990 Sco,,,,8.03,,,254.5444,-30.9732,Sco
V0993 Sco,,,,7.94,,,264.2914,-45.3557,Sco
V0995 Sco,,,,6.47,,,267.1220,-42.7228,Sco
V0996 Sco,,,,9.04,,,268.5690,-40.1879,Sco
V0997 Sco,,,,7.95,,,268.6036,-39.9521,Sco
V0998 Sco,,,,8.54,,,268.9861,-40.1177,Sco
V0999 Sco,,,,8.9,,,269.2167,-39.1862,Sco
V1004 Sco,,,235626653,8.25,,,251.2873,-45.0602,Sco
V1005 Sco,,,246383662,7.92,,,252.7591,-44.3914,Sco
V1008 Sco,,,,3.0,,,255.9832,-41.4002,Sco
V1010 Sco,,,381886169,9.11,,,257.7236,-42.4833,Sco
V1011 Sco,,,224944534,7.53,,,257.7185,-39.9806,Sco
V1038 Sco,,,21877755,8.06,,,268.0281,-42.2351,Sco
V1163 Sco,,,465113319,9.9,,,263.4045,-36.2597,Sco
V1185 Sco,,,109896070,3.41,,,266.1000,-31.9265,Sco
V1366 Sco,,,121031229,1.79,534.0,C,254.5262,-42.3233,Sco
V1469 Sco,,,188676201,4.21,568.0,,258.4995,-37.8371,Sco
V1493 Sco,,,463464652,3.49,628.0,C,259.1364,-39.1794,Sco
V1503 Sco,,,463766894,5.51,630.0,C,261.3045,-39.3227,Sco
V1515 Sco,,,469241137,3.1,545.0,C,267.0507,-40.8266,Sco
V1516 Sco,,,470289060,6.79,399.0,,267.4582,-40.1327,Sco
