wr,name,tyc,tic,vmag,sptype,ra_deg,dec_deg,constellation
1,HIP 3415,4024-1467-1,420295917,10.51,WN4,10.8683,+64.7598,Cas
2,HIP 5100,4017-1829-1,52428793,11.33,WN2,16.3460,+60.4219,Cas
3,HIP 7681,3683-986-1,453305574,10.7,WN3+O4,24.7318,+58.1563,Cas
4,HIP 12527,3708-966-1,245701221,10.53,WC5+?,40.2987,+56.7305,Per
5,HIP 13380,3708-965-1,251145358,11.02,WC6,43.0486,+56.9353,Per
6,HR 2583,6522-3270-1,78959225,6.94,WN4,103.5544,-23.9284,CMa
7,HIP 35378,5407-3417-1,409128699,11.68,WN4,109.6214,-13.2171,CMa
7a,PMLC 1,,,,WN4/WC,110.0932,-23.7327,CMa
8,HIP 37791,7110-2470-1,,10.48,WN7/WCE+?,116.2426,-31.9082,Pup
9,IC 2206,7114-644-1,149683329,10.93,WC5+O7,116.4600,-34.3301,Pup
10,AS 193,6566-888-1,130349299,11.08,WN5ha (+A2V),119.9427,-28.7342,Pup
11,gamma^2 Vel,8140-6533-1,354825513,1.74,WC8+O7.5III-V,122.3832,-47.3366,Vel
12,Ve5-5,8151-4295-1,430553024,10.99,WN8h+?,131.1969,-45.9821,Vel
13,Ve6-15,,28951752,13.78,WC6,132.4703,-45.1734,Vel
14,Ve5-8,8156-950-1,30135253,9.42,WC7+?,133.7465,-47.5924,Vel
15,Ve5-10,8174-181-1,356073087,11.72,WC6,138.2990,-50.1071,Vel
16,HIP 48617,8606-333-1,469251162,8.44,WN8h,148.7205,-57.7273,Car
17,HIP 49838,8943-2284-1,,11.03,WC5,152.6330,-60.6451,Car
18,HIP 50368,8608-1016-1,463593043,11.11,WN4,154.2595,-57.9130,Car
19,LS 3,,463711927,13.75,WC4pd+O9.6,154.5209,-58.2739,Car
19a,SMSP 1,,463759879,17.45,WN7:(h),154.7225,-58.1314,Car
20,BS 1,,463905285,14.45,WN5,154.8271,-59.1603,Car
20a,SMSP 2,,464294590,14.14,WN7:h/WC,155.9917,-57.7636,Car
20b,SMSP 3,,464393953,15.4,WN6:h,156.0767,-57.8083,Car
21,HIP 51109,8612-404-1,464576825,9.76,WN5+O4-6,156.6309,-58.6406,Car
21a,1E 1024.0-5732,,464570167,12.8,WN6+O/a,156.4854,-57.8123,Car
22,HR 4188,8626-2024-1,458559498,6.44,WN7h+O9III-V,160.3230,-59.6769,Car
23,HIP 52331,8626-1263-1,458569900,9.67,WC6,160.4097,-58.7719,Car
24,HIP 52488,8957-1556-1,390670978,6.49,WN6ha,160.9678,-60.1178,Car
25,PPM 339385,8626-1989-1,458856322,8.14,WN6h+O4f,161.0433,-59.7197,Car
26,MS 1,,458832464,14.61,WN7/WCE,161.1337,-57.8399,Car
27,LS 4,,458839236,14.96,WC6+a,161.1586,-58.8080,Car
28,MS 2,,459327075,12.98,WN6(h)+OB?,162.2445,-59.0604,Car
29,MS 3,,465179953,12.65,WN7h+O,162.6929,-60.4782,Car
30,TYC 8961 618 1,8961-618-1,465247492,11.73,WC6+O6-8,162.7750,-62.2838,Car
30a,MS 4,,465216332,13.33,WO4+O5-5.5,162.9122,-60.9431,Car
31,HIP 53274,8627-257-1,,10.69,WN4+O8V,163.4368,-59.5130,Car
31a,He3-519,8958-1166-1,465539899,9.75,WN11h,163.4986,-60.4456,Car
31b,HIP 53461,8958-3996-1,465734733,7.09,WN11h,164.0482,-60.4536,Car
31c,SMSP 4,,465907185,16.37,WC6+OB,164.4292,-60.5669,Car
32,MS 5,,304461112,15.9,WC5+OB?,164.9706,-59.8787,Car
33,GSC 8623-0928,,304357507,12.35,WC5,165.0030,-57.8165,Car
34,LS 5,,466068334,14.5,WN5,165.0268,-61.4416,Car
35,MS 6,,,13.83,WN6h+OB?,165.0921,-61.2308,Car
35a,SMSP 5,,466113391,13.92,WN6h,165.1021,-59.9933,Car
35b,SMSP 6,,466117241,14.49,WN4,165.2596,-60.2336,Car
36,LS 6,,,13.57,WN5-6+OB?,165.6370,-59.4393,Car
37,MS 7,,466527248,15.77,WN4,166.3080,-61.3448,Car
38,MS 8,,466662221,15.41,WC4,166.4438,-61.2303,Car
38a,SMSP 7,,466662246,16.21,WN5,166.4542,-61.2281,Car
38b,SMSP 8,,466662141,16.21,WC7+OB,166.5779,-61.2369,Car
39,MS 9,,466662129,14.5,WC7+OB?,166.5779,-61.2384,Car
40,HIP 54283,8966-1467-1,466582212,7.85,WN8h,166.5717,-65.5098,Car
41,LS 7,,466837461,14.8,WC5+OB?,166.9752,-61.4614,Car
42,HIP 54574,8959-414-1,467049852,8.25,WC7+O7V,167.5170,-60.9792,Car
42a,SMSP 9,,467282915,17.61,WN5,168.0662,-61.0844,Car
42b,SMSP 10,,467303766,16.96,WN4,168.2658,-62.2383,Car
42c,SMSP 11,,467411574,16.56,WN5,168.5067,-61.0631,Car
42d,SMSP 12,,467480509,15.28,WN5,168.6617,-61.1878,Car
43a,,,,11.9,WN6ha,168.7811,-61.2606,Car
43b,,,,11.97,WN6ha,168.7816,-61.2606,Car
43c,,,923163668,12.37,WN6ha,168.7823,-61.2605,Car
44,,,450709091,12.96,WN4+OB?,169.2411,-59.4400,Car
44a,SMSP 13,,467889425,16.2,WN4,169.6812,-61.4436,Car
45,,,319813699,14.8,WC6,174.5217,-62.2669,Cen
45a,SMSNPL 1,,323952313,16.69,WN5,176.5759,-61.4114,Cen
45b,SMSNPL 2,,324668437,18.08,WN4,177.1924,-62.3843,Cen
45c,SMSNPL 3,,306140040,15.44,WN5,179.0199,-62.7348,Cen
46,HIP 58954,8978-2316-1,379639650,10.87,WN3p+OB?,181.3280,-62.0528,Cru
46a,SMSNPL 4,,382397644,16.0,WN4,183.2595,-63.7072,Cru
47,HIP 62115,8992-468-1,434254182,11.08,WN6+O5V,190.9625,-63.0874,Cru
47a,SMSNPL 5,,460634341,15.98,WN8h,191.4636,-64.1605,Cru
47b,SMSNPL 6,,369287715,17.05,WN9h,192.0318,-63.6445,Cru
47c,SMSNPL 7,,435894263,16.09,WC5,193.2320,-63.7775,Cru
48,theta Mus,8997-2337-1,441173738,5.88,WC6(+O9.5/B0Iab),197.0298,-65.3060,Mus
48b,SMSNPL 8,,441971246,15.96,WC9d,197.8644,-63.7669,Cen
48a,Danks 1,,,16.8,WC8ed+?,198.1652,-62.7155,Cen
48c,SMSNPL 9,,442708084,13.98,WN3h+WC4,198.2175,-63.3962,Cen
49,Th17-22,,442983978,13.84,WN5(h),198.4639,-65.3024,Mus
50,GSC 8994-2101,,443484254,12.49,WC7+OB,199.5045,-62.4346,Cen
51,Th17-85,,443484776,14.64,WN4+OB?,199.5950,-62.4725,Cen
52,HIP 64929,8661-27-1,262127122,9.86,WC4,199.6167,-58.1371,Cen
53,HIP 65925,8995-2364-1,314554265,10.88,WC8d,202.7219,-62.0811,Cen
54,Th17-89,,315352752,12.99,WN5,203.1825,-65.0244,Mus
55,HIP 66142,8995-1038-1,316144482,10.87,WN7,203.3755,-62.3170,Cen
56,LS 8,,,13.87,WC7,203.4390,-64.1254,Cen
56a,SMSNPL 10,,,15.91,WN5,205.3095,-60.8979,Cen
57,HIP 66948,9016-132-1,343234696,10.02,WC8,205.8182,-67.4014,Mus
58,GSC 9016-1189,,380962974,13.05,WN4/WCE,207.2688,-65.6989,Mus
59,GSC 9004-3553,,381504800,13.9,WC9d,207.3861,-61.5284,Cen
60,,,324256993,13.25,WC8,208.9504,-61.1639,Cen
61,HIP 69445,9013-234-1,333028202,12.41,WN5,213.2647,-65.4480,Cir
62,NS 2,,390247722,14.22,WN6,217.7754,-61.3495,Cen
62a,SMSNPL 11,,392279296,13.8,WN4,218.1591,-61.4987,Cen
62b,SMSNPL 12,,292761609,17.26,WN5,221.6709,-61.1157,Cir
63,GSC 8692-0361,,412904424,12.83,WN7+OB,222.7430,-59.8574,Cir
64,BS 3,,414529813,15.57,WC7,224.2304,-55.8494,Cir
65,Wra 1297,,,14.5,WC9d+OB?,228.4237,-59.1954,Cir
66,HIP 74634,8706-757-3,42618788,11.66,WN8(h)+cc?,228.7405,-59.8417,Cir
67,GSC 8706-0600,,42743547,12.12,WN6+OB?,228.8859,-59.0419,Cir
68,BS 4,,44288868,14.09,WC7,229.5875,-59.6361,Cir
68a,SMSNPL 13,,46817697,14.41,WN6,230.8190,-57.7387,Cir
69,HIP 75377,9025-953-1,456190186,9.43,WC9d+OB,231.0471,-62.6771,TrA
70,HIP 75863,8707-1249-1,414264860,10.1,WC9vd+B0I,232.4362,-58.5809,Cir
70a,SMSNPL 14,,421567194,16.9,WN6,239.8558,-54.2125,Nor
71,HIP 78689,9040-2669-1,343261104,10.23,WN6+OB?,240.9556,-62.6933,TrA
73,NS 3,,164346341,15.23,WC9d,243.1562,-46.6264,Nor
74,BP 1,,411017743,13.98,WN7,244.0571,-51.6114,Nor
75,TYC 8324 3694,8324-3694-1,1456691,11.23,WN6,246.1093,-51.5350,Nor
75a,SMSNPL 15,,6621164,14.51,WC9,246.6553,-50.3230,Nor
75b,SMSNPL 16,,,16.09,WC9,247.0716,-48.2953,Nor
76,,,232106785,15.46,WC9d,250.0221,-45.6861,Sco
77,He3-1239,,,13.0,WC8+OB,250.3297,-48.0332,Ara
78,HR 6249,7876-2659-1,337802356,6.61,WN7h,253.0802,-41.8545,Sco
79,HR 6265,7876-2640-1,339568270,6.95,WC7+O5-8,253.5821,-41.8199,Sco
79a,HR 6272,7872-1609-1,340411624,5.29,WN9ha,253.7438,-41.1509,Sco
79b,TYC 7880 313 1,7880-313-1,247347473,8.32,WN9ha,253.7769,-44.9893,Sco
80,,,121341557,14.63,WC9d,254.7592,-45.7183,Ara
81,He3-1316,,123611150,12.71,WC9,255.6683,-45.9876,Ara
82,LS 11,8328-1231-1,124268162,12.41,WN7(h),256.0192,-45.2042,Sco
83,He3-1344,,382130049,12.79,WN5,257.7271,-46.6050,Ara
84,The 3,,,13.55,WN7,257.8404,-39.8895,Sco
85,TYC 7874 1219,7874-1219-1,188423587,10.6,WN6h+OB?,258.6130,-39.7631,Sco
86,HIP 84655,7370-511-1,153566009,9.63,WC7 (+B0III-I),259.5961,-34.4085,Sco
87,GSC 7870-1223,,193174035,12.59,WN7h+OB,259.7204,-38.8346,Sco
88,The 1,,154281012,13.25,WC9,259.7063,-33.9611,Sco
89,AS 223,7870-1155-1,193168979,11.53,WN8h+OB,259.7522,-38.8142,Sco
90,HIP 84757,8341-321-1,217148592,7.45,WC7,259.8746,-45.6399,Ara
91,StSa 1,,194750160,15.76,WN7,260.0917,-38.9464,Sco
92,TYC 7895 1089,7895-1089-1,217873333,10.43,WC9,261.3465,-43.4922,Sco
93,Th10-19,7383-162-1,158893899,11.45,WC7+O7-9,261.2870,-34.1869,Sco
93a,Th3-28,,191395089,13.9,WN2.5-3,262.7367,-26.9861,Oph
94,Th10-27,7380-394-1,101077204,12.27,WN5,263.2797,-33.6399,Sco
95,He3-1434,,104135656,14.0,WC9d,264.0823,-33.4364,Sco
96,,,104269394,14.14,WC9d,264.1008,-32.9081,Sco
97,HIP 86197,7384-624-1,104808753,11.14,WN5+O7,264.2234,-34.0436,Sco
98,Tr27-105,7380-192-1,104801634,12.51,WN8/WC7,264.3073,-33.4655,Sco
98a,,,108505175,19.7,WC8-9vd+?,265.3037,-30.5414,Sco
100,GSC 7381-1214,,193309782,13.44,WN7,265.5407,-32.5569,Sco
101,DA 3,,111016298,16.4,WC8,266.2879,-31.8378,Sco
101a,BSD 1,,,,WC9,266.4145,-29.0095,Sgr
101b,KGE 1,,,,WN9-11,266.4149,-29.0089,Sgr
101c,KGE 2,,,,WN9-11,266.4151,-29.0099,Sgr
101d,KGE 3,,,,WC9,266.4151,-29.0075,Sgr
101e,KGE 4,,,,WN9-10,266.4156,-29.0063,Sgr
101f,KGE 5,,,,WN9-10+?,266.4158,-29.0082,Sgr
101g,KGE 6,,,,WC9,266.4163,-29.0073,Sgr
101h,KGE 7,,,,WC9,266.4165,-29.0072,Sgr
101i,KGE 8,,,,WN9-11,266.4167,-29.0046,Sgr
101j,KGE 9,,,,WN9-11,266.4169,-29.0076,Sgr
101k,KGE 10,,,,WN9-11+?,266.4170,-29.0083,Sgr
101l,KGE 11,,,,WN9-11,266.4172,-29.0079,Sgr
101m,KGE 12,,,,WN9-11,266.4172,-29.0047,Sgr
101n,KGE 13,,,,WC9,266.4174,-29.0080,Sgr
101o,KGE 14,,,,WC9,266.4175,-29.0081,Sgr
102,Sand 4,,,15.1,WO2,266.4458,-26.1747,Sgr
102a,CSE1,,,,WN8,266.4521,-28.8347,Sgr
102b,CSE2,,321993161,,WN6,266.4600,-28.9888,Sgr
102c,FMM96-1,,,,WN6,266.5467,-28.8182,Sgr
102d,FMM95-1,,,,WN9,266.5592,-28.8213,Sgr
102e,FMM96-2,,322752122,,WC8,266.5621,-28.8336,Sgr
102f,FMM96-3,,,,WC<8+?,266.5632,-28.8279,Sgr
102g,FMM99-1,,,,WC<8,266.5632,-28.8285,Sgr
102h,FMM95-2,,,,WC9,266.5650,-28.8385,Sgr
102i,FMM96-4,,322751915,,WN9+?,266.5692,-28.8256,Sgr
102j,FMM96-5,,322751892,,WN9,266.5733,-28.8248,Sgr
102k,FMM96-6,,,,WC<8,266.5733,-28.8219,Sgr
102l,SMSNPL 17,,109041613,15.53,WN8,270.1430,-22.7942,Sgr
103,HIP 88287,7395-31-1,265405113,8.86,WC9d+?,270.4297,-32.7153,Sgr
104,Ve2-45,,110170548,13.54,WC9d+B0.5V (+VB),270.5170,-23.6281,Sgr
105,Ve2-47,,111193203,12.92,WN9h,270.5977,-23.5771,Sgr
106,IC14-8,,104681822,12.33,WC9d,271.1819,-21.1585,Sgr
107,DA 1,,104694202,14.1,WN8,271.1921,-21.8575,Sgr
107a,SMSNPL 18,,105040084,16.43,WC6,271.2978,-22.2229,Sgr
108,LS 14,6842-1045-1,105925265,10.16,WN9h+OB,271.3572,-23.0056,Sgr
109,NS 5,,55833822,14.48,WN5h+?,271.9646,-35.1722,Sgr
110,HIP 88828,6259-2666-1,174364730,10.3,WN5-6,271.9873,-19.3991,Sgr
111,HIP 88856,6276-2076-1,176236939,8.23,WC5,272.1186,-21.2531,Sgr
112,GL 2104,,244154481,18.8,WC9d+OB?,274.1395,-18.9785,Sgr
113,HIP 89769,5685-3986-1,15845781,9.43,WC8d+O8-9IV,274.7807,-11.6331,Ser
114,IC14-17,,119319706,12.95,WC5+OB?,275.8183,-13.7238,Sct
115,IC14-19,5702-2667-1,413230352,12.32,WN6+OB?,276.3750,-14.6447,Sct
116,AS 306,,176625823,13.38,WN8h,276.7678,-12.3812,Sct
117,IC14-22,,424350218,14.19,WC9d,277.7606,-6.5971,Sct
118,GL 2179,,215789842,22.0,WC9d,277.9262,-9.9875,Sct
119,The 2,,327813915,12.41,WC9d,279.8246,-10.0920,Sct
120,Vy1-3,,,12.3,WN7,280.2537,-4.4373,Sct
121,AS 320,5121-188-1,186685647,12.41,WC9d,281.0548,-3.7994,Aql
121a,W43#1,,226085975,,WN7+a/OB?,281.9000,-1.9425,Aql
123,HIP 93626,5136-134-1,309022495,11.26,WN8,285.9959,-4.3172,Aql
124,209 BAC,1586-411-1,396769617,11.58,WN8h,287.8787,+16.8606,Sge
125,IC14-36,,369302211,13.52,WC7ed+O9III,292.0649,+19.5559,Vul
126,ST 2,,215367717,13.29,WC5/WN,294.9842,+26.5783,Vul
127,HIP 97281,2151-4277-1,452026724,10.33,WN3+O9.5V,296.5664,+28.2720,Vul
128,HIP 97456,1619-1501-1,391066940,10.54,WN4(h)+OB?,297.1342,+18.2010,Sge
129,Sey 1,,59376634,13.27,WN4,297.0760,+30.4478,Cyg
130,LS 16,,328366341,12.6,WN8(h),299.8028,+31.4527,Cyg
131,IC14-52,2674-3432-1,103727946,12.36,WN7h+OB,300.0797,+33.2642,Cyg
132,GSC 2674 1901,,104449131,13.49,WC6+?,300.4156,+32.5717,Cyg
133,HIP 99002,2682-1564-1,89757859,6.7,WN5+O9I,301.4889,+35.7884,Cyg
134,HIP 99377,2683-1164-1,42837421,8.23,WN6,302.5592,+36.1764,Cyg
135,HIP 99525,2683-2288-1,43417017,8.36,WC8,302.9730,+36.1974,Cyg
136,HIP 99546,3151-1765-1,43780908,7.65,WN6(h),303.0273,+38.3549,Cyg
137,HIP 99769,2683-3369-1,10989276,8.15,WC7pd+O9,303.6324,+36.6610,Cyg
138,HIP 99982,2684-857-1,12019694,8.1,WN5+B?,304.2501,+37.4233,Cyg
139,HIP 100214,3151-1250-1,12672792,8.1,WN5+O6III-V,304.8851,+38.7317,Cyg
140,HIP 100287,3164-1678-1,193109650,7.07,WC7pd+O4-5,305.1166,+43.8545,Cyg
141,HIP 120155,2684-384-1,13249293,10.14,WN5+O5V-III,305.3822,+36.9202,Cyg
142,Sand 5,,13558068,13.82,WO2,305.4348,+37.3751,Cyg
