cgcs,hd,tyc,tic,vmag,bmag,sptype,ra_deg,dec_deg,constellation
3697,148173,7865-877-1,225430672,9.2,12.3,N3(CannMay49),247.0221,-43.6611,Nor
6648,,9042-226-1,324935946,9.4,,F8:R-G2(LE83),248.6250,-63.1375,TrA
3707,148839,9050-453-1,363372857,8.5,9.0,R0(HD),248.9408,-67.1269,TrA
3714,,,230142969,9.5,12.7,,249.1475,-46.3639,Ara
3715,,,230913845,9.9,,N(Ste),249.5246,-45.9961,Ara
3720,,7350-36-1,462963005,7.0,11.7,N(San),250.1608,-32.3800,Sco
3729,150986,6821-606-1,409283802,9.1,,"C1,1(War)",251.4242,-29.3014,Sco
3735,,2058-527-1,351458106,9.0,,R0(Van),251.8529,+23.2161,Her
3731,151055,9275-905-1,364283778,8.0,10.4,"Nb(HD);C5,5(War)",252.5275,-67.7828,TrA
3756,153432,8730-627-1,172049232,9.0,11.3,Nb(HD),255.6379,-55.0711,Ara
3762,,7364-692-1,39618474,8.0,13.0,Ne(San),255.6929,-32.6708,Sco
3769,,8328-506-1,125958042,8.2,12.2,R(Sndlk),256.8213,-46.7642,Ara
3775,,,43822123,8.2,,N(Ste),257.3071,-33.8533,Sco
3774,,9056-4327-1,303798333,9.0,11.0,Nb(Cann21),257.7808,-61.9542,Ara
3795,156074,3081-810-1,275037564,7.7,,R1(Sh),258.3800,+42.1064,Her
3765,154124,9455-240-1,384749761,9.0,10.9,"R0(HD);C1,2(War)",259.5025,-81.5414,Aps
3799,156294,8341-592-1,217151657,7.9,11.5,N3(CannMay49),259.7458,-45.9639,Ara
3808,,7887-1366-1,196115910,9.3,,N(San),260.1925,-40.3883,Sco
3813,157041,7895-714-1,217607920,9.6,13.3,R1(HD),260.7787,-43.8294,Sco
3816,319738,7374-887-1,200095515,9.5,10.4,R3(Cann21),260.9346,-36.4864,Sco
3820,,6837-13-1,85948230,8.5,,N(San),261.0096,-29.3411,Oph
3822,,,214454839,9.2,,,261.5250,-50.6847,Ara
3806,156580,9288-803-1,311696845,8.0,,,261.5375,-74.4908,Aps
3827,,7887-1155-1,463848064,8.2,14.0,N(San),261.5787,-40.0300,Sco
3837,158377,6243-462-1,166500946,7.0,11.6,Nb(HD),262.4321,-19.4731,Oph
3842,,418-102-1,348422866,9.3,10.9,R2(Van),262.8471,+1.9758,Oph
3854,160205,7893-507-1,408784428,8.0,12.0,N3(CannMay49),265.1258,-41.6294,Sco
3864,160591,7385-774-1,193697490,9.9,10.7,R8(San),265.5954,-35.2475,Sco
3861,160435,8737-1110-1,74742533,7.0,9.3,Nb(HD),265.8287,-57.7239,Pav
3875,161208,6253-773-1,239253131,8.2,11.2,N + A3(Gordon),266.2354,-18.6572,Sgr
3879,,1556-1794-1,416053785,8.7,,R0(Van),266.4283,+17.2144,Her
3878,161511,7389-1244-1,112642190,7.0,10.5,N3(CannMay49),266.8675,-35.7014,Sco
3901,316667,6849-1115-1,134557625,9.0,12.5,N0(CannMay38),268.9867,-28.0308,Sgr
3921,,3914-546-1,232628114,7.2,,Ne(San),269.0971,+58.2186,Dra
3917,,1019-1747-1,5260175,9.7,,R4(San),269.6287,+13.1983,Oph
3933,312502,6259-2052-1,110813071,9.9,12.9,N0(CannMay),270.6179,-19.1736,Sgr
3938,164889,7899-3712-1,328610786,9.9,11.0,R3(San),271.3008,-39.3422,CrA
3957,166097,1013-1362-1,24817809,9.7,,R5(Sh),272.1892,+9.4522,Oph
3960,,6851-2001-1,249176068,9.9,,N(San),272.6158,-26.8650,Sgr
3982,,8358-1843-1,88886887,9.5,11.0,R0(Cann21),274.7133,-46.5481,Tel
3992,168227,6265-1647-1,115426226,8.2,9.0,R6(San),274.8408,-15.6128,Ser
4025,170495,6270-1521-1,432601044,9.0,10.9,"N(HD,Sndlk)",277.6087,-16.8969,Sgr
4032,170831,454-86-1,370568107,9.0,12.7,"N(San);C5,5(Yam)",277.8462,+4.3817,Oph
4038,,2636-1142-1,289321783,7.8,,R6(San),278.0838,+36.9989,Lyr
4045,,,350837965,9.4,14.1,,278.6625,+9.2089,Oph
4052,171804,5691-1157-1,6049426,9.0,11.0,"N(San);C5,5(Yam)",279.2671,-7.6033,Sct
4078,,,15828537,9.7,,"N(Ste),C 7,3(CH96)",280.4771,+17.6864,Her
4089,173291,2649-507-1,157949276,7.9,9.5,N4(Sh),280.7083,+36.9586,Lyr
4070,172464,8372-326-1,304614148,9.5,10.2,"R0(HD);C2,2(War)",280.7717,-51.7594,Tel
4094,173409,7408-1459-1,398347939,9.5,,R0(San),281.6108,-31.3422,Sgr
4111,,456-4-1,172573875,9.5,10.4,"N(San);C5,4(Yam)",281.8375,+5.4553,Ser
4098,173539,7915-1409-1,253708425,9.4,13.0,R0(HD),281.8846,-38.1589,CrA
4103,,6859-348-1,179463802,9.0,13.7,,281.8896,-23.9408,Sgr
4121,174325,5693-7290-1,413990427,6.3,9.7,N3(Sh),282.5833,-7.9075,Sct
4138,175377,5706-6178-1,34599010,8.8,11.1,"N3(Sh);C7,3(Yam)",283.8650,-8.1861,Sct
4147,176200,1051-51-1,298998109,8.0,11.1,"N4(Sh);C5,3(Yam)",284.6350,+14.3639,Aql
4145,175893,6885-1646-1,92102677,9.3,10.1,R0(San),284.6971,-29.5050,Sgr
4149,,7417-1401-1,380388767,9.0,,,285.1996,-34.9803,Sgr
4158,,,254096009,9.0,12.8,,286.0071,-41.2647,CrA
4164,177336,5140-3199-1,309889789,6.5,10.6,N6(Sh),286.1008,-5.6847,Aql
4190,,,395867942,9.7,,,287.5892,+14.1914,Aql
4198,349836,1594-376-1,10437848,9.6,,,287.9567,+20.6167,Sge
4208,,2131-553-1,403300311,9.8,,R3(San),288.4154,+27.3061,Lyr
4217,,1611-1932-1,354339835,9.0,13.5,"N(San);C4,4:(De)",289.2258,+21.9083,Vul
4229,180953,6296-819-1,130940288,7.2,,"N2(Sh);C6,4(Yam)",289.7900,-15.9083,Sgr
4241,,3134-1708-1,122223400,8.3,,Ne(San),290.0162,+37.8744,Lyr
4302,183556,4584-2918-1,420129036,6.1,8.5,"N0(Sh);C7,3(Yam)",290.3979,+76.5597,Dra
4247,182040,5713-492-1,98919473,7.0,,R0(Sh),290.7921,-10.7033,Aql
4485,187216,4652-763-1,397514892,9.6,,R2(Sh),291.0767,+85.3650,Dra
4307,,3543-2275-1,63129128,8.1,11.0,"N(San);C4,5(Yam)",292.1983,+46.0439,Cyg
6791,,,370639463,7.6,,"C0,0(Yam)",292.5796,+21.8689,Vul
6805,,2138-692-1,372927939,9.8,11.0,,293.3237,+23.6553,Vul
4333,184283,6298-279-1,439106796,7.7,8.5,"N3(Sh);C7,4(Yam)",293.5792,-16.3742,Sgr
4357,,7429-1238-1,113770082,9.0,11.5,R(Sto),294.2908,-33.3714,Sgr
4415,186047,2660-3137-1,70728183,7.0,10.8,N(San),295.2375,+32.6183,Cyg
4454,186665,6316-2569-1,69400978,8.8,11.7,N(San),296.6087,-18.1517,Sgr
4524,187861,9093-1085-1,466164033,9.2,10.4,R0(HD),299.1125,-65.3686,Pav
4581,189256,3149-942-1,268821645,7.4,11.4,N6(Har),299.3021,+44.2611,Cyg
4567,188934,481-1884-1,183371661,9.3,,"R8(Sh);C3,1(Yam)",299.4067,+0.2417,Aql
4598,189711,1075-1743-1,393605032,8.7,,N(San),300.2658,+9.4975,Aql
4616,190048,1629-945-1,352536266,9.2,10.3,N3(CannMay49),300.5962,+21.0903,Sge
4633,,,275232994,9.9,,R(NassSte61),300.8704,+17.0908,Sge
4653,190606,1629-1033-1,,8.7,10.0,N3(CannMay49),301.2696,+20.6478,Sge
4614,190018,8776-220-1,101508220,8.3,,"C1,1(War)",301.3642,-52.7017,Tel
4714,191738,3563-462-1,185675883,8.5,11.7,"N3(Sh);C7,4(Yam)",302.3754,+47.8714,Cyg
4712,,3158-1346-1,42589375,9.0,11.7,N(San),302.4342,+41.4936,Cyg
4716,191783,2683-3082-1,91948700,8.5,13.0,N(San),302.6021,+35.9481,Cyg
4701,,5752-2494-1,14191952,9.4,,Ne(Bid),302.8254,-14.2683,Cap
4758,192443,3151-539-1,312364784,6.5,,N0p(Sh),303.3487,+38.7292,Cyg
4784,,3945-105-1,233829187,9.6,,R0(Van),303.5321,+58.1053,Cyg
4774,192737,6340-1015-1,71637257,7.5,8.9,"N(San);C6,4(Yam)",304.2771,-21.3178,Cap
4817,193680,3576-1359-1,193083950,6.7,,"Np(Sh);C9,2(CH96)",304.9025,+47.8942,Cyg
4792,193025,8413-646-1,166548332,9.0,,Nb(HD),305.0542,-49.8208,Tel
4848,,1636-1627-1,219656018,9.5,13.0,N(San),306.3558,+17.9069,Del
4873,195435,5762-1349-1,205518613,9.6,,R6(San),307.9292,-11.8844,Cap
4915,,2165-417-1,396845364,7.7,,Ne(San),309.3242,+26.4839,Vul
4939,,3578-2382-1,286094845,6.8,,Ne(San),310.3263,+48.1414,Cyg
4946,,2691-1817-1,100337680,9.2,13.4,N(San),310.8867,+32.1231,Cyg
4947,197604,2695-1012-1,100403866,9.2,,R4(San),310.8958,+35.0731,Cyg
4978,198269,1651-1359-1,87992293,7.9,,R0(Van),312.1529,+17.8400,Del
4989,,2691-3115-1,230742877,8.9,13.3,"N(San);C5+,5(De)",312.3175,+33.2297,Cyg
6882,201626,2181-1908-1,125679725,8.1,,"C1,1CH(Yam)",317.4958,+26.6208,Vul
5171,,,136368293,9.7,12.5,"N(Ste);C7,4e(De)",317.5004,+46.7392,Cyg
5147,201266,8793-857-1,79225050,9.5,11.3,"R5(HD);C5,4(War)",317.5858,-53.7039,Ind
5227,202851,5194-1236-1,364249756,9.6,,R0(Ste),319.6812,-1.5342,Aqr
5230,,532-308-1,376427153,9.8,,R1(San),319.7608,+3.2419,Equ
5228,202874,8422-584-1,139121623,6.0,7.7,N(San),320.0396,-45.0219,Ind
5265,,3190-2295-1,138952747,8.5,12.1,N(San),320.6196,+42.3964,Cyg
5239,203133,9326-451-1,410057499,7.0,8.6,"Na(HD);C7,3(War)",321.0696,-69.7339,Pav
5368,,,430003440,9.3,,,323.7250,+58.6050,Cep
5406,206362,4603-770-1,264405368,9.4,15.6,N(San),323.8033,+78.6244,Cep
5418,206570,2725-2262-1,239622721,6.1,,"N1(Sh);C6,3(Yam)",325.5046,+35.5103,Cyg
5425,206750,3184-2150-1,351564058,7.1,10.8,"N5(Sh);C6,4(Yam)",325.8179,+38.0175,Cyg
5420,206652,9122-78-1,406320083,9.0,10.9,Na(HD);C6II(GCVS),326.5733,-65.3078,Ind
5494,208512,3612-332-1,370721793,9.8,12.3,Nlate(Har),328.8075,+50.4972,Cyg
5496,208526,2203-2128-1,283620251,7.7,9.7,N3(Sh),329.0921,+22.8628,Peg
5561,209621,1692-499-1,420822670,8.8,,R3(Sh),331.1046,+21.0525,Peg
5566,,,,8.1,,R(Ste),331.2287,+25.1508,Peg
5570,209890,2724-1872-1,162290171,7.6,9.0,Ne(San); C-S,331.4708,+33.5069,Peg
5577,,3609-950-1,326252558,9.1,10.6,"R(D); C6-,4(De)",331.6662,+48.4519,Lac
5627,,5225-1112-1,439843712,9.7,,R(Ste),334.9279,-0.6639,Aqr
5677,,3995-863-1,64463531,9.5,,"N(San);C4,4(Yam)",338.1117,+58.6183,Cep
5719,215484,4265-376-1,331465435,8.3,11.5,"N(San);C7,4(Yam)",341.0462,+61.7286,Cep
5714,,1701-984-1,434192861,9.0,12.0,Ne(San),341.2221,+18.1156,Peg
5721,,3629-198-1,66356224,9.7,12.0,N(San),341.2442,+49.4808,Lac
5722,,3992-2086-1,343319958,9.9,12.1,"N(San);C4,3(Yam)",341.2675,+56.6217,Lac
5774,216913,3985-430-1,367683879,9.4,11.5,"N(San);C4,5(Yam)",344.0308,+54.2294,Lac
5791,,3622-431-1,155020942,9.6,12.5,R8(San),345.4562,+45.8858,And
5823,218875,6401-266-1,204374656,9.4,,R0(San),347.9004,-21.0031,Aqr
5865,,4003-145-1,319495684,9.5,13.5,R8(San),350.8662,+56.1672,Cas
5879,220870,3645-2304-1,25472862,9.0,10.8,"N(San);C7,3(Yam)",351.7392,+49.5164,And
5890,,4284-514-1,270659145,9.9,13.6,"N(D); C5+,3(De)",353.0867,+62.1089,Cas
5903,222241,2778-765-1,369617367,8.2,,Nb(HD),354.6879,+35.7725,And
5928,223075,589-1671-1,293340820,5.3,6.9,"N0(Sh);C7,2(Yam)",356.5979,+3.4869,Psc
5937,223392,592-649-1,408411255,8.8,,"R3(Sh);C3,2(K-M)",357.2729,+6.3825,Psc
5970,,4009-1411-1,417303230,9.6,,Ne(San),359.7721,+56.9692,Cas
