bd,mwc,hd,tyc,tic,vmag,sptype,ra_deg,dec_deg,constellation
CP-58 2195,HEN   419,302798,8612-380-1,464579757,9.6,"B3 V,e",156.4955,-58.9955,Car
CP-57 3207,HEN   421,90599,8612-246-1,464576614,8.99,B4 III:,156.5380,-58.6247,Car
CP-58 2225,,90834,8613-1865-1,464746311,9.6,B5/6 III/IV,156.9311,-59.2891,Car
CP-56 3382,HEN   426,302840,8609-1052-1,464732609,9.68,"B2 V,e",156.9752,-57.6131,Car
CP-62 1595,MWC   204,90966,8960-346-1,460227467,6.45,"B2/B3 III:,ne",157.0763,-63.1644,Car
CP-57 3301,HEN   428,302838,8609-1016-1,,9.4,Be*,157.1315,-57.7039,Car
CP-75  664,HEN   435,91180,9397-615-1,453679121,9.2,"B5: ,e",156.9934,-76.2323,Cha
CP-55 3508,HEN   433,,8609-2680-1,457418826,9.6,"B0 V,e",157.4465,-56.6126,Vel
CP-56 3448,HEN   436,91188,8609-2497-1,457512560,6.64,B4 III e,157.5937,-57.0773,Vel
BD-12 3181,MWC   205,91120,5497-1765-1,334776134,5.6,"B9 V,n",157.7496,-13.5879,Hya
CP-59 2182,,305218,8956-1977-1,460415018,9.3,"B2 V,e",157.5983,-60.0776,Car
CP-67 1368,HEN   438,91273,9211-2057-1,397172149,7.9,B8 V,157.5285,-68.5517,Car
CP-60 1944,HEN   437,91269,8956-410-1,460445777,7.54,"B4: V:,ne",157.6406,-61.3360,Car
CP-67 1370,HEN   440,310080,9211-2790-1,397172115,9.6,Be*,157.5954,-68.5621,Car
CP-60 1948,HEN   439,91307,8956-946-1,460447627,8.1,B5 V,157.7429,-61.6131,Car
CP-58 2272,HEN   441,91359,8613-1531-1,457623406,9.7,B7 II/III,157.8475,-59.2964,Car
CP-59 2193,MWC   207,305296,8956-2044-1,460564234,9.4,"B2 V,e",157.9159,-60.2860,Car
CP-61 1704,MWC   208,91465,8956-4324-1,460532958,3.32,"B4 V,ne",158.0062,-61.6850,Car
CP-59 2206,ASW   599,305301,8956-717-1,460572582,10.0,"B2 V,e",158.2086,-60.4520,Car
CP-60 1968,,91597,8956-1223-1,460576476,9.8,B1 III ne,158.2544,-60.8444,Car
CP-60 1974,HEN   447,305330,8956-1270-1,460601950,9.3,"B0 V,e",158.3103,-61.4278,Car
CP-58 2312,HEN   448,,8613-147-1,457937172,9.7,Be*,158.5364,-59.4824,Car
CP-57 3490,,303075,8613-2170-1,457975034,10.0,B1 V e,158.8846,-58.2552,Car
CP-61 1734,HEN   454,92027,8957-637-1,460857167,8.53,B1.5 V ne,158.9934,-61.8643,Car
CP-63 1513,HEN   456,92066,8965-424-1,460823534,8.4,"B7/B8 V,ne",158.9962,-64.2426,Car
CP-59 2299,,92064,,460900257,10.0,B3/6 V,159.0725,-60.6347,Car
CP-58 2372,HEN   455,92061,,,8.95,B1.5 III,159.0954,-58.9511,Car
CP-58 2418,,92234,8613-1149-1,458233727,9.6,B9.5/A0 V,159.3978,-59.1353,Car
CP-59 2347,ASW   615,305382,,461029358,9.6,"B2 V,e",159.4774,-60.5190,Car
CP-58 2461,HEN   462,92406,8613-763-1,458267524,9.05,Be*,159.6976,-58.7255,Car
CP-56 3611,HEN   463,303143,8609-518-1,458372467,9.2,Be*,159.7423,-57.5903,Car
CP-57 3627,HEN   464,92420,8609-973-1,458373790,8.7,"B1 V,e",159.7471,-57.7781,Car
CP-58 2486,,303216,8613-983-1,458400554,9.4,"B1 V,e",159.8453,-59.5866,Car
CP-57 3671,MWC   209,92714,8626-226-1,458538177,9.4,"B2 V,e",160.2661,-58.5700,Car
CP-57 3674,HEN   469,92759,8622-429-1,458531963,10.1,"B2 V,e",160.3546,-57.6719,Car
CP-60 2160,MWC   210,305483,8957-2763-1,390190717,9.2,Be*,160.3438,-60.7752,Car
CP-79  548,,93237,9418-2651-1,394728064,5.97,B5 IV,160.4660,-79.7832,Cha
CP-58 2637,MWC   213,93190,8626-877-1,458852827,8.57,"B0: IV:,ep",161.0821,-59.2828,Car
CD-32 7625,,93383,7190-191-1,54353261,8.5,Be* sh,161.6047,-33.3246,Ant
CP-56 3773,HEN   484,93442,8622-1758-1,458962112,9.3,B8,161.5307,-56.7587,Vel
CP-59 2677,,305560,8957-1617-1,391522904,9.8,B1.5 V e,161.6176,-60.5633,Car
CP-54 4029,HEN   489,93561,8618-1665-1,459088023,9.0,B1 III: nne,161.7478,-54.8307,Vel
CP-56 3800,,93563,8622-3779-1,459065293,5.23,B8/B9 III,161.7397,-56.7568,Vel
CP-57 3793,HEN   490,93597,8622-220-1,459042546,8.5,B6 V,161.7715,-57.9599,Car
CP-56 3812,,93618,8622-1017-1,459132453,9.1,"B2 V,e",161.8421,-57.1670,Car
CP-62 1750,,,8961-572-1,391733334,,"B3 V,e",161.8638,-62.7251,Car
CP-59 2712,HEN   492,93683,8957-2047-1,391643922,7.89,B1 V nep,161.9121,-60.6174,Car
CP-60 2295,HEN   497,305635,8957-4167-1,465008325,9.2,"B2 V,e",162.0461,-60.6901,Car
CP-60 2324,HEN   504,305627,8957-3929-1,465213677,9.3,"B1 III,e",162.7909,-60.6923,Car
CP-61 1927,HEN   505,94288,8958-2421-1,465223758,9.4,B4 V,162.9204,-61.6931,Car
CP-57 3939,HEN   515,94509,8627-2299-1,459699513,9.4,Be* sh,163.3634,-58.4234,Car
CP-57 3968,HEN   522,303534,8623-191-1,459807846,9.2,"B3 V,e",163.5906,-58.0701,Car
CP-59 2827,,94648,8627-328-1,459821914,9.76,"B2 V,e",163.6094,-59.8624,Car
CP-59 2854,ASW   689,,8958-1950-1,465736884,9.8,"B3 III,e",163.9803,-60.2393,Car
CP-59 2860,MWC   216,94910,8958-3996-1,465734733,6.96,"B2: ,ep",164.0480,-60.4532,Car
CP-60 2412,ASW   699,95043,8958-198-1,465769839,9.3,B8/B9 III,164.3049,-60.7172,Car
CP-59 2877,HEN   531,,8627-1832-1,465740584,9.8,"B3 V,e",164.3225,-59.9614,Car
CP-60 2420,HEN   533,305827,8958-2325-1,465779698,9.4,"B2 V,e",164.4159,-61.6587,Car
CP-61 2006,HEN   539,308104,8962-924-1,465970145,10.9,"B2 V,e",164.7464,-61.9267,Car
CP-54 4246,HEN   548,95612,8619-2012-1,304644439,9.8,B7 IV,165.3179,-55.5865,Vel
CP-59 2964,,95826,8958-4572-1,466295244,8.5,B5 V:,165.6012,-60.5172,Car
CP-60 2473,,305891,,,9.2,"B3 V,e",165.6207,-60.8178,Car
CP-58 2969,HEN   555,303763,8627-2220-1,304992548,10.5,Be*,165.7108,-59.3179,Car
CP-61 2046,HEN   559,95972,8958-887-1,466353921,8.76,"B2 V,e",165.7905,-61.7688,Car
CP-60 2506,HEN   565,306016,8958-3179-1,466527712,9.2,"B2 V,e",166.2523,-61.3941,Car
CP-56 4183,HEN   564,303776,8623-135-1,305816755,9.8,"B2 V,e",166.2779,-57.5097,Car
CP-61 2064,HEN   567,96357,8958-2264-1,466628058,9.1,B1.5 V ne,166.3676,-61.8451,Car
CP-52 4214,,96485,8615-373-1,81079078,10.2,B8/9 II/III,166.6030,-53.3547,Cen
CP-63 1835,ASW   736,,8966-1305-1,,9.6,"B1 V,e",166.6499,-64.2376,Car
CP-58 3150,HEN   580,96685,8628-398-1,306501673,10.0,B8,166.8394,-58.7067,Car
CP-55 4148,HEN   583,96728,8624-1580-1,306624254,8.22,B8 V(n),166.9196,-56.6604,Cen
CP-56 4230,HEN   585,96788,8624-2797-1,,10.2,B8/9 (IIp shell),167.0068,-56.7905,Cen
CP-56 4232,HEN   587,96822,8624-168-1,306839025,9.3,B8 IV/V,167.0405,-57.5333,Car
CP-70 1310,HEN   592,,9216-2516-1,400713387,10.7,Be*,166.9877,-70.9094,Car
CP-55 4156,HEN   588,96864,8624-1799-1,306832872,8.9,B1.5 IV ne:p,167.1200,-56.4848,Cen
CP-67 1661,HEN   594,97032,9212-3434-1,400722499,9.7,"B9 V,n",167.2139,-68.3521,Car
CP-60 2566,HEN   595,306085,8959-1224-1,466880435,9.3,"B2 V,e",167.3271,-60.7117,Car
CP-60 2567,HEN   596,306111,8959-482-1,467027607,10.1,"B2 V,e",167.3325,-61.1006,Car
CP-59 3100,MWC   217,97151,8959-1102-1,467059272,7.74,"B2 V,e",167.5097,-60.0949,Car
CP-59 3142,HEN   609,306145,,,9.55,"B2: V,ne",167.8314,-59.9192,Car
CP-62 1912,HEN   611,97382,8963-1652-1,467199933,10.1,B6,167.8629,-63.2056,Car
CP-70 1338,,97535,9229-2879-1,401354555,7.2,B7 V n,168.0242,-71.2172,Car
CP-56 4307,HEN   614,97580,8624-2330-1,450029947,8.77,B8 V,168.2537,-57.0349,Cen
CP-60 2696,HEN   618,306205,8959-863-1,467409163,10.05,B0 II,168.3795,-61.2617,Car
CP-60 2697,HEN   619,306209,8959-846-1,467408384,9.3,"B1 V,e",168.3947,-61.3445,Car
CP-57 4451,HEN   620,97726,8628-1373-1,450276053,10.2,B9,168.4648,-58.6104,Car
CP-55 4230,HEN   623,97792,8620-1856-1,450192104,8.04,"B2/B3 V,nne",168.5835,-56.0471,Cen
CP-59 3242,HEN   625,306267,8959-2595-1,467456980,9.7,Be*,168.6832,-60.3695,Car
CP-55 4249,HEN   627,98001,8624-3016-1,450511999,8.9,"B6 V,e",168.8765,-56.6610,Cen
CP-60 2829,HEN   638,98624,8959-1985-1,468074636,9.77,"B1: V,ne",170.0221,-61.2326,Car
CP-62 1977,HEN   643,98876,8963-353-1,468195912,9.5,"B5 V:,n",170.4766,-63.4866,Cen
CP-60 2867,HEN   645,98927,8959-2356-1,281643356,9.23,B1 III: nne,170.5825,-61.0731,Cen
CP-52 4507,HEN   644,98922,8617-657-1,272956728,6.7,"B9 V,e",170.6323,-53.3698,Cen
CP-58 3566,HEN   649,99146,8629-717-1,451280762,8.1,B0.5 IV ne,170.9705,-59.3043,Cen
CP-60 2920,HEN   652,99354,8959-1599-1,315830698,8.94,"B1 III,ne",171.3072,-61.2765,Cen
CP-58 3605,,99467,8629-1172-1,451445219,7.5,B9 II/III,171.5055,-59.3524,Cen
CP-62 2026,HEN   656,99771,8976-698-1,316792722,8.5,"B7 V,n",171.9875,-62.8050,Cen
CP-56 4564,HEN   661,304395,8625-369-1,451875177,9.1,Be*,172.7856,-57.2472,Cen
CP-62 2075,HEN   662,100199,8976-4559-1,317795621,8.17,B1 III,172.7790,-62.9466,Cen
CP-67 1758,HEN   666,100324,9225-635-1,280672231,8.6,B2 III ne,172.9615,-68.0573,Mus
CP-69 1557,HEN   672,100546,9229-2446-1,280773136,6.8,"B9 V,ne",173.3569,-70.1948,Mus
CP-53 4637,,100673,8630-2190-1,452163402,4.62,B9 V,173.6909,-54.2641,Cen
CP-60 3122,HEN   680,,,290681844,10.0,"B3 ,nep",174.0368,-61.6452,Cen
CP-60 3126,HEN   679,,8972-2265-1,290681684,9.26,"B1.5 V,n",174.0452,-61.6285,Cen
CP-44 5615,HEN   686,101142,8215-155-1,429143022,8.4,B5 III,174.5209,-45.1387,Cen
CP-62 2167,,,8976-5041-1,319936432,10.7,B3 V ne:,174.5858,-63.3438,Cen
CP-62 2184,,308829,8976-5333-1,320228013,10.7,B6 V e,174.7369,-63.4772,Cen
CP-59 3681,HEN   692,101412,8972-1154-1,320547523,9.2,B9.5 V,174.9351,-60.1739,Cen
CP-61 2541,HEN   696,101794,8976-4402-1,322078735,8.68,B1 IV ne,175.6080,-62.4767,Cen
CP-59 3727,HEN   697,306962,8642-756-1,322233181,9.64,"B ,nnep",175.6505,-59.9770,Cen
CP-71 1274,HEN   702,101915,9234-2479-1,454753529,8.7,"B8 V,n",175.7816,-72.4451,Mus
CP-68 1561,HEN   704,102154,9226-2896-1,296592061,9.7,B5 II/III,176.2585,-69.3664,Mus
CP-61 2594,HEN   705,102189,8977-9204-1,323325708,9.0,B5,176.3259,-61.9214,Cen
CP-63 1963,HEN   707,102352,8981-2956-1,323613746,9.92,"B2: V:,ne",176.6195,-64.0624,Cen
CP-63 1964,HEN   709,102369,8981-1368-1,323612875,10.1,B8/B9 II/III,176.6496,-64.1549,Cen
CP-40 5372,HEN   710,102383,7749-1080-1,454081779,9.7,"B6 V,ne",176.7338,-41.2926,Cen
CP-58 3843,HEN   713,102423,8643-599-1,268351249,8.9,B9.5/A0 V,176.7784,-59.0557,Cen
CP-61 2636,HEN   715,102567,8977-7939-1,324268119,9.25,"B1 V,ne",177.0003,-62.2066,Cen
CP-63 1986,HEN   720,102742,8981-4227-1,325237845,10.3,"B3 V,e",177.3619,-64.6220,Cen
CP-63 1988,MWC   218,102776,8981-4409-1,325170579,4.32,B3 V,177.4215,-63.7881,Cen
CP-57 5086,HEN   727,307350,8643-941-1,301435200,9.8,Be*,178.5026,-58.5206,Cen
CP-59 3929,HEN   730,103514,8973-2435-1,305629042,9.4,B6,178.7461,-60.3059,Cen
CP-63 2036,,103574,8977-310-1,305896243,8.0,B2 V,178.8400,-63.7031,Cen
CP-70 1445,HEN   733,103715,9234-2316-1,411263603,9.08,B0/3 ne,179.1187,-71.6518,Mus
CP-60 3532,HEN   736,103872,8973-1861-1,306419817,8.8,"B5 ,e",179.3957,-61.5496,Cru
CP-59 3974,HEN   738,104011,8973-2064-1,307100246,9.2,"B4: ,e",179.6360,-60.6562,Cru
CP-77  774,HEN   741,104237,9416-1289-1,357040880,6.5,Be*,180.0230,-78.1921,Cha
CP-60 3621,HEN   745,104552,8974-1031-1,378812108,9.2,Be*,180.5976,-61.4510,Cru
CP-58 4033,HEN   746,104582,8644-737-1,376480349,9.4,B8/B9 II/III,180.6483,-59.3368,Cru
CP-69 1630,,105027,9231-1287-1,311730985,9.0,B9.5 V,181.3875,-69.9129,Mus
CP-60 3739,ASW   937,,8974-1259-1,380224370,9.92,Be*,181.6721,-61.2556,Cru
CD-49 6813,,105382,8241-3234-1,333670665,4.47,"B2 III,ne",182.0223,-50.6608,Cen
CD-50 6697,MWC   219,105435,8241-3235-1,333670784,2.6,"B2 IV,ne",182.0898,-50.7219,Cen
CD-40 7128,HEN   754,105521,7759-1305-1,134653865,5.48,B3 IV,182.2275,-41.2311,Cen
CP-63 2166,MWC   220,105675,8982-4317-1,381257866,9.25,B2 IV nne,182.5051,-64.0005,Cru
CP-63 2172,HEN   758,105753,8982-2300-1,381747495,9.11,B2 IV ne,182.6247,-64.0999,Cru
CD-62  623,HEN   762,,8978-2545-1,382396569,,B3 V: ne,183.1774,-63.5993,Cru
CP-63 2198,HEN   764,106262,,382611398,10.3,B8/B9 V,183.4305,-63.7225,Cru
CP-58 4174,HEN   765,106309,8645-2059-1,390071999,7.83,"B5 V,e",183.5070,-59.3964,Cru
CP-63 2219,HEN   770,106730,8982-305-1,308760236,8.35,B1 III ne,184.1530,-64.5162,Cru
CP-55 4964,HEN   771,106793,8641-1826-1,405387285,9.68,"B8/B9 II/III,e",184.2491,-56.4067,Cru
CP-60 3892,HEN   773,106960,8975-3998-1,309184049,9.2,B8 II/III,184.5459,-61.4883,Cru
CP-65 1843,HEN   777,107302,8987-1131-1,314632352,9.3,B8/B9 IV/V,185.1252,-66.3081,Mus
BD-21 3514,MWC   221,107348,6108-1477-1,423528378,5.21,"B8 V,n",185.1414,-22.2149,Crv
CP-62 2708,,107609,8979-2108-1,311334494,9.3,B8/9 IV,185.5808,-63.6595,Cru
CP-58 4266,,108051,8645-1236-1,270991656,9.5,B8 III,186.2896,-59.6603,Cru
CP-60 3989,HEN   790,108295,8975-2133-1,450609787,9.41,B2/3 (V)n,186.7180,-60.7534,Cru
CP-63 2291,HEN   792,108418,8983-1435-1,450726617,9.4,"B5 V:,n",186.9416,-64.5772,Cru
CP-61 3212,,,8975-3742-1,450826315,,B2 IV ne,187.1557,-61.8529,Cru
BD+70  703,MWC   222,109387,4394-1870-1,148917425,3.87,B5 IV:,188.3728,+69.7878,Dra
CP-63 2356,ASW   989,,8996-705-1,180092491,10.39,"B2 V,e",188.8885,-64.2204,Cru
CP-60 4204,ASW   994,,8988-2752-1,338532011,10.32,"B2 V,e",189.6509,-61.2532,Cru
CP-74  955,HEN   802,109857,,360632151,6.49,"B8 V,n",189.8120,-75.3698,Mus
CP-67 2033,,110007,9228-549-1,327936191,9.8,B8/9 V,189.9943,-67.9521,Mus
CP-59 4393,MWC   223,110335,8659-3106-1,405520863,4.93,B6 IV,190.4860,-59.6855,Cru
CP-62 2898,MWC   224,110432,8992-1861-1,433936219,5.31,Be*,190.7096,-63.0584,Cru
CP-58 4468,HEN   816,110699,8659-1671-1,419585280,9.8,"B9.5: V:,n",191.1436,-59.1475,Cru
CP-61 3352,,110625,8992-675-1,434244626,9.6,B8/9 III,191.0390,-62.4737,Cru
CP-59 4423,HEN   818,110863,8988-1897-1,460703129,9.3,B2 III: nep,191.4747,-60.5510,Cru
CP-61 3367,,111054,8992-236-1,369312341,9.6,B7 III/V,191.8596,-62.5435,Cru
CP-60 4306,,111363,8988-1196-1,434998753,9.0,B3 III,192.3644,-60.6985,Cru
CP-59 4480,,111408,8988-1569-1,435101969,9.3,B7 IV,192.4384,-60.5132,Cru
CP-66 1982,,111906,9001-465-1,334340249,9.5,B3/5 III/V,193.4234,-67.4041,Mus
CP-59 4546,HEN   833,,8989-2082-1,436272343,9.76,"B2 IV,ne",193.4198,-60.3955,Cru
CP-56 5487,MWC   225,112091,8656-3487-1,261862960,5.17,"B5 V,ne",193.6539,-57.1680,Cru
CP-58 4584,,112078,8660-2695-1,261993378,4.62,"B4 V,n",193.6639,-59.1460,Cru
CP-51 5612,ASW  1033,112107,8257-17-1,168505959,10.0,"B9.5 V,n",193.6721,-52.4835,Cen
CP-58 4589,HEN   838,112147,8660-2400-1,261992444,8.9,"B0: IV:,ep",193.7851,-59.0181,Cru
CP-58 4615,HEN   842,112512,8660-600-1,253110498,8.5,B7 III,194.5035,-59.0840,Cen
CP-59 4639,HEN   845,112825,8660-1131-1,253177102,9.8,"B1.5 IV,e",195.0989,-59.6855,Cen
CP-48 5215,HEN   847,,8254-1269-1,404152871,10.0,Be*,195.3239,-48.8879,Cen
CP-59 4651,,112999,8989-68-1,438877747,7.3,B6 III(n),195.3954,-60.6712,Cen
CP-58 4642,,112927,8660-1331-1,253227061,9.2,B9/A0 III,195.2578,-58.7358,Cen
CP-70 1553,MWC   226,113120,,336343562,6.03,"B1.5 III,ne",195.7726,-71.4755,Mus
CP-58 4661,,113260,8660-634-1,253304151,9.3,B8/9 III,195.8618,-59.2067,Cen
CP-56 5566,HEN   857,113573,8656-3330-1,253380837,8.77,B4 V,196.3872,-56.8513,Cen
CP-61 3445,HEN   858,113605,8993-447-1,440399815,9.5,"B2/B3 ,ne",196.4936,-62.2367,Cen
CP-70 1567,MWC   227,114200,9245-106-1,337706541,8.47,B1 III ne,197.7237,-70.8093,Mus
CP-54 5472,HEN   871,114441,8653-1640-1,406341244,8.03,"B2 IV,ep",197.8724,-55.3564,Cen
CP-62 3042,HEN   870,114424,8994-312-1,442392095,10.4,"B8 II,ne",197.9170,-62.8656,Cen
CP-60 4518,HEN   873,,8990-2182-1,442842826,10.39,"B1 ,ne",198.1737,-61.0182,Cen
CP-62 3083,HEN   877,114757,8994-3623-1,442954238,9.28,B6/8 V(e),198.4663,-63.5859,Cen
CP-62 3090,HEN   879,114800,8994-2766-1,442951751,8.01,B2 IV ne,198.5480,-63.3733,Cen
CD-37 8461,HEN   882,114981,7774-1667-1,,7.12,B5 V,198.6695,-38.6516,Cen
CP-60 4551,,,8990-1366-1,443136657,9.5,B1 III ne,198.7918,-60.9665,Cen
CP-61 3546,HEN   885,115114,8990-217-1,443203536,9.64,Be*,199.0669,-61.7619,Cen
CP-58 4790,,115532,8661-1977-1,262119058,8.9,B6/7 V,199.7166,-59.2222,Cen
CP-62 3174,HEN   891,115746,8994-3012-1,449459169,9.2,B3 IV,200.1478,-63.4116,Cen
CP-59 4914,,115805,8674-2593-1,449510152,9.71,"B1: V,nne",200.1985,-59.9904,Cen
CP-65 2317,HEN   896,116421,9002-910-1,340443779,9.2,"B7 V,n",201.2982,-65.9099,Mus
CP-65 2318,HEN   897,116422,9002-1132-1,340439571,9.6,B5(ep shell),201.3221,-66.4538,Mus
CP-62 3270,MWC   228,116781,8995-3220-1,313074666,7.8,B0 III ne,201.8542,-62.6487,Cen
CP-65 2335,HEN   900,116849,9003-1626-1,340853880,9.2,"B1 V,ep",202.0304,-66.2795,Mus
CP-60 4687,,116875,8991-3149-1,312909005,7.3,B8 V,202.0054,-61.0626,Cen
CP-61 3706,,116827,8995-2784-1,312931751,10.5,B2/5 V n,201.9075,-62.1258,Cen
CP-60 4708,,,8991-4714-1,313955481,10.1,B1.5 V: ne,202.3929,-61.1919,Cen
CP-64 2428,HEN   902,117111,8999-53-1,314272739,7.7,B2 III ne,202.4774,-65.5015,Mus
CP-68 1937,HEN   903,117172,9246-590-1,341056811,9.1,B9 II/III,202.6720,-69.6142,Mus
CP-61 3760,,117357,8991-4674-1,315036866,8.95,B0.5 III ne,202.8148,-61.7319,Cen
CP-52 6535,HEN   909,117411,8662-158-1,420003853,9.0,B8 V,202.8173,-53.0960,Cen
CP-62 3394,HEN   918,118094,8995-1533-1,317666530,7.9,B8 V(n),204.0876,-63.1454,Cen
CP-68 1962,HEN   920,118325,9243-16-1,342497524,8.4,B8 III,204.6491,-69.2935,Mus
CP-72 1431,HEN   921,118655,9251-204-1,395229972,9.7,"B9.5 V,n",205.2935,-72.7059,Mus
CP-66 2309,HEN   926,119423,9016-519-1,343522290,7.5,"B4: V,ne",206.3272,-66.7542,Mus
CP-62 3565,HEN   928,119682,9008-4119-1,323077171,7.98,Be*,206.6357,-62.9227,Cen
CP-57 6275,HEN   929,119835,8672-1401-1,207580161,7.9,B8/9 II/III(n),206.7805,-57.6748,Cen
CP-57 6286,HEN   930,119958,8672-1739-1,207633164,10.1,B8 V,206.9997,-57.6949,Cen
CP-61 4023,,119940,9008-3471-1,380838940,9.7,B8 V,207.0538,-62.4823,Cen
CD-41 8172,MWC   229,120324,7797-2743-1,243647020,3.04,"B2 IV-V,e",207.4043,-42.4733,Cen
CP-59 5225,HEN   934,120330,8676-1771-1,207881543,7.8,"B2/B3 V,nne",207.6089,-59.7477,Cen
CP-63 3004,,120417,9012-939-1,299035061,8.9,B9 IV n,207.8099,-63.8896,Cen
CP-65 2496,HEN   936,120526,9016-1391-1,448078023,8.8,B9 III(n),208.0722,-66.4040,Cir
CP-57 6361,,120766,8676-164-1,208313955,10.1,B8/9 III,208.2753,-58.2962,Cen
CD-38 8883,HEN   940,120958,7790-2308-1,166703712,7.61,"B3 V,ne",208.3675,-39.0567,Cen
CD-46 8931,MWC   230,120991,8267-3170-1,307225534,6.1,"B2 III,e",208.4876,-47.1276,Cen
CP-69 1956,HEN   943,121045,9247-447-1,448205731,9.8,B8/9 V(n),208.9854,-69.6162,Cir
CP-60 5093,HEN   946,121195,9004-3663-1,324252945,9.0,B8 IV(n),208.9748,-61.5030,Cen
CP-59 5310,HEN   948,121556,8676-3809-1,325273334,9.0,B2 IV nep,209.4906,-59.8846,Cen
CP-63 3099,HEN   956,122282,9013-809-1,327913813,9.0,"B6: ,p sh",210.7815,-63.8365,Cen
CP-58 5340,HEN   958,122450,8677-402-1,209829040,9.26,B2 III e,210.9655,-59.4627,Cen
CP-64 2703,HEN   960,122597,9013-478-1,328770903,9.3,"B7 V,n",211.3097,-65.5919,Cir
CP-61 4317,HEN   961,122669,9009-1997-1,329060936,8.96,B1 III: e,211.3419,-62.5071,Cen
CP-61 4318,,122691,9009-2487-1,329059929,9.2,B1: V nne,211.3550,-62.5873,Cen
CP-58 5367,,123042,8677-144-1,,9.1,B8/9 IV,211.8304,-59.5111,Cen
CP-60 5199,HEN   963,123131,9005-1644-1,330435560,8.0,B6/B7 V,211.9864,-61.5085,Cen
CP-63 3141,HEN   965,123207,9013-371-1,330719215,8.9,B6 V(n),212.1670,-64.1900,Cen
CP-59 5420,,123296,8677-2318-1,210506327,8.7,B8/9 V,212.1874,-59.7168,Cen
CP-56 6206,MWC   231,124367,8686-3021-1,409358619,5.07,B5: V nne,213.7383,-57.0853,Cen
CP-64 2793,,124489,9013-812-1,335092511,9.3,B8 IV/V,214.1135,-64.7802,Cir
CP-73 1267,HEN   981,124834,9256-2198-1,396688762,6.5,B3 III/IV,214.9899,-73.9681,Aps
CP-58 5464,HEN   984,125015,8690-1033-1,413350702,7.28,"B7 V,n",214.7118,-58.6860,Cen
CP-57 6592,HEN   987,125106,8690-1535-1,413296783,10.9,B2 V,214.8108,-58.4424,Cen
CP-65 2681,HEN   988,125159,9018-455-1,448962730,10.0,B2 V e,215.1266,-66.1200,Cir
CP-82  601,HEN   980,124639,9509-307-1,282406261,6.42,B8 V,216.0968,-82.8480,Aps
CP-60 5353,HEN   993,126004,9006-2129-1,383542260,9.4,"B3 V,ne",216.3094,-61.3213,Cen
CP-54 6015,,126527,8683-1689-1,263875550,9.2,B8 V,216.9852,-55.4693,Lup
CP-69 2054,,126508,9261-214-1,360372114,8.4,B9 IV/V,217.3905,-70.2382,Cir
CP-63 3268,HEN  1000,126693,9014-2040-1,389217256,9.8,B2 V e,217.4262,-64.1654,Cen
CP-51 6898,HEN  1003,126986,8290-215-1,457546452,9.7,B9/A0 V(nn),217.6352,-52.2554,Lup
CP-58 5576,HEN  1004,127112,8691-2893-1,291429783,9.3,B7 III,217.9415,-58.8891,Cen
CP-58 5594,HEN  1006,127449,8691-1929-1,292674898,7.6,"B2/B3 V,n",218.4032,-58.8205,Cen
CP-56 6312,HEN  1008,127515,8687-1227-1,292550464,9.7,B7/8 Vn(e),218.4691,-56.7450,Cen
CP-63 3303,HEN  1007,127489,9015-479-1,394060863,9.4,B2 IV e,218.6217,-64.2019,Cen
CP-56 6326,HEN  1011,127782,8687-1357-1,411643280,9.42,B8 V,218.8218,-56.7706,Cen
CP-60 5437,HEN  1010,127756,9007-747-1,395429445,7.58,B1 III ne,218.8890,-61.0079,Cen
CD-41 8917,MWC   232,127972,7814-3706-1,128116539,2.31,"B1.5 V,n",218.8774,-42.1569,Cen
CP-67 2622,MWC   233,128293,9257-434-1,257376141,6.76,"B3 V,ne",219.8822,-68.2032,Cir
CP-61 4659,HEN  1017,128477,9011-2348-1,399990331,10.8,B8/B9 IV/V,219.9023,-61.9840,Cen
CP-59 5679,HEN  1018,128588,8692-571-1,401635731,9.0,"B3 V,ne",220.0227,-59.9309,Cen
CP-55 6136,,129285,8688-1415-1,188990976,9.7,B9 V,220.9748,-56.3564,Cir
CP-55 6162,,129772,8688-1283-1,191312952,8.6,B7/9 III p,221.6533,-56.4184,Cir
CP-44 6953,HEN  1028,,8279-599-1,383763886,10.15,"B6 V,e",221.7291,-45.2325,Lup
CP-65 2871,HEN  1027,129842,9019-889-1,293290586,8.4,B8/B9 IV/V,222.0017,-65.7398,Cir
CP-66 2645,HEN  1029,129954,9019-918-1,258704817,5.91,B2.5 V,222.1853,-66.5934,Cir
CP-59 5734,HEN  1031,130437,9007-5277-1,294553294,9.82,Be*,222.7101,-60.2848,Cir
CP-51 7214,HEN  1033,130534,8292-174-1,250213274,8.84,B5 V:,222.6721,-52.2645,Lup
CP-56 6459,ASW  1258,130574,8688-1113-1,413216957,11.1,B9.5 IV/V,222.8042,-57.4492,Cir
CP-63 3433,,130648,9028-1358-1,294920971,9.3,B9.5 III,223.0879,-63.7901,Cir
CP-40 6733,HEN  1034,130903,7824-1432-1,160401972,7.5,Be*,222.9899,-40.8053,Cen
CD-45 9492,HEN  1037,131168,8280-2896-1,455389730,7.05,"B3 V,e",223.3421,-45.8553,Lup
CP-62 4337,HEN  1038,131492,9024-1862-1,296969980,5.11,"B4 V,np",224.1834,-62.7806,Cir
